"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:09,553","00:00:11,346","బేబీ, నువ్వు వ్యాపార భాగస్వామివి అయ్యావు.","Baby, you made partner."
"2","00:00:11,846","00:00:16,392","మనం రిట్రీట్ వేడుకలో పాల్గొంటే తప్ప భాగస్వామి అయ్యామన్న ఫీలింగ్ ఉండదని కొందరు అంటారు. ఇంతకుముందు అది వినలేదు.","They say you don't feel like a partner until you've been to the retreat. Oh. I've never heard that before."
"3","00:00:16,393","00:00:19,061","అయితే, అది నేనే కల్పించా, ఇప్పుడు వ్యాపార భాగస్వామిని కాబట్టి ఆ పని చేయగలను.","Well, I just made it up, but I can do that now because I'm a partner."
"4","00:00:19,062","00:00:21,897","నీ నుంచి వెలువడుతున్న పవర్ చూస్తుంటే నాలో శృంగారభావన కలుగుతోంది.","[sighs] The power emanating from you is really turning me on."
"5","00:00:21,898","00:00:23,649","- అవును, నాలో కూడా ఆ భావన కలుగుతోంది. - అవును.","- Yeah, it's turning me on too. - Yeah."
"6","00:00:23,650","00:00:27,112","హేయ్, నా ఐడి కార్డు పట్టీ ఇస్తావా? నీ పట్టీ.","Hey, uh, why don't you get my lanyard? - Ooh, your lanyard. - Mmm."
"7","00:00:27,862","00:00:28,863","థాంక్యూ.","Thank you."
"8","00:00:29,656","00:00:32,198","- ఇదిగో వేసుకో. - వావ్.","- [clicks tongue] Ooh, there it is. - Wow."
"9","00:00:32,198","00:00:34,952","ఇది చూడు. నీకు క్యూ.ఆర్. కోడ్ ఉంది.","[sighs] Look at that. You got a QR code."
"10","00:00:34,953","00:00:43,753","పూర్తి షెడ్యూల్ కోసం నేను ఆ క్యూ.ఆర్. కోడ్ ని స్కాన్ చేయాలి. నేను నిన్ను ప్రేమగా స్కాన్ చేస్తాను. వావ్.","I gotta scan that QR code for the full schedule. - Oh, yeah. I'm gonna scan your ass. - [chuckles] Oh, wow. [sighs]"
"11","00:00:43,753","00:00:47,590","బూసాలిస్ అండ్ ఆడింగ్టన్ ఎల్.ఎల్.పి. భాగస్వాముల వేడుక","**[NO ENGLISH MATCH FOUND]**"
"12","00:00:47,591","00:00:49,508","నువ్వు ఎప్పుడూ కలగన్నది ఇదేనా?","Is this everything you ever dreamed of?"
"13","00:00:49,509","00:00:53,012","అవును, ఇంత కన్నా తక్కువే, అది నిజం కావాలని ఊహించుకున్నాను.","Yes, but even blander, if that's possible."
"14","00:00:53,013","00:00:57,725","- సిల్వియా. ఓహ్, దేవుడా. - హాయ్. హేయ్, స్టివర్ట్, నిన్ను కలవడం సంతోషంగా ఉంది.","- Sylvia. Oh, my God. - Oh, hi. Hey, Stewart, nice to see you."
"15","00:00:57,726","00:01:01,520","నువ్వు రావడం సంతోషం. ఇప్పుడు ఈ వేడుక అంత బోర్ కొట్టదు. అది నీ అభిమానం.","[chuckles] I'm so glad you're here. It's gonna be so much less boring. Aw, you're so sweet."
"16","00:01:01,521","00:01:05,900","కానీ, వసతితో పాటు సెలవుని ఇచ్చినందుకు, ఈ భాగస్వాముల వేడుకలో మొదటి వరుస సీటు ఇచ్చినందుకు మాకు చాలా ఆనందంగా ఉంది.","Well, we're very excited for our staycation, and me for my front-row seat of the partners' orgy."
"17","00:01:05,901","00:01:09,987","- ఈ వేడుక ఒక రహస్యంగా ఉండాలి. - అది నా పొరపాటే. చీజ్ వంటకాలు, హలో.","- The orgy is supposed to be a secret. - My bad. Oh. Cheese platter, hello."
"18","00:01:09,988","00:01:11,947","ఆ ఫ్లోరెసెంట్ ఆకుపచ్చ క్యూబ్స్ ని సిఫార్సు చేయవచ్చా?","May I recommend the florescent green cubes?"
"19","00:01:11,948","00:01:13,116","వాటి రుచి అమోఘంగా ఉంటుంది.","- They taste like nothing. - Mmm."
"20","00:01:13,116","00:01:16,410","ఫ్రాంక్ షేఫర్, అతని ఉపన్యాసాలు అనంతం. ప్రధాన వక్త ఫ్రాంక్ షేఫర్","[sighs] Frank Schaeffer, his speeches are endless."
"21","00:01:16,411","00:01:19,955","మనల్ని బందీలుగా చేసి తన గోల్ఫ్ విజయగాథల్ని వినిపించడం కోసమో అతను ఈ సంస్థని స్థాపించాడని నాకు అనిపిస్తుంది.","I think he founded the firm so he can hold us all hostage with his golf stories."
"22","00:01:19,956","00:01:21,957","దేవుడా. ఈ మనిషి. ఇతనిని ఓ డజను సార్లు కలిశాను.","Oh, my God. That guy. I've met him a dozen times."
"23","00:01:21,958","00:01:23,667","అతను నా పేరుని గుర్తుంచుకోడు. ఒక్కసారి కూడా.","He never remembers my name. Not once."
"24","00:01:23,668","00:01:24,877","ఎవరి పేరునీ అతను గుర్తుంచుకోడు.","Never remembers anybody's name."
"25","00:01:24,878","00:01:26,629","సక్సెస్ అయిన వాళ్లకి అదొక వరం.","It's one of the perks of being successful."
"26","00:01:26,630","00:01:29,256","నేను ఎవరి పేర్లనీ గుర్తుంచుకోలేనంత సక్సెస్ సాధించాలని తహతహలాడుతున్నాను...","I cannot wait to be successful enough that I don't have to remember the names."
"27","00:01:29,257","00:01:31,467","హేయ్, హేయ్, హేయ్. ఈ షోకి స్వాగతం, కొత్త భాగస్వామి.","Hey, hey, hey. Welcome to the show, newbie. [laughs]"
"28","00:01:31,468","00:01:34,053","- హేయ్. - అవును. హేయ్, కొత్త భాగస్వామి.","- Hey. [laughs] - Yeah. Hey, newbie. [laughing]"
"29","00:01:34,054","00:01:41,518","అభినందనలు, భాగస్వామి. అది కౌబాయ్ యాస. ఆ యాసని చాలా బాగా అన్నారు. సిల్వియా, మీది ఆస్ట్రేలియా కదా.","[laughing] Congratulations, partner. That was a cowboy accent. Oh, and a fine one at that. - Oh. [chuckles] - Sylvia, you're from Australia."
"30","00:01:41,519","00:01:43,229","కౌబాయ్ ల గురించి నీకు ఏం తెలుసు?","What do you know about cowboys?"
"31","00:01:43,230","00:01:45,773","హేయ్, డ్యూపాంట్ నుండి మిల్టన్ ని తప్పించడం గురించి మీరు విన్నారా?","Oh, hey, did you guys hear that Milton got taken off Dupont?"
"32","00:01:45,774","00:01:46,690","ఏంటి?","What?"
"33","00:01:46,691","00:01:51,487","ఆగండి, స్వారెజ్ తో చేసే లావాదేవీలన్నీ మిల్టన్ చూసేవాడు కదా. - ఒకప్పుడు చూసేవాడు. - ఇంక చూడటం లేదు.","Wait, Milton was running point on everything to do with Suarez. - Mmm, he was. - Not anymore. [chuckles]"
"34","00:01:51,488","00:01:53,739","సారీ, మనం ఈ విషయాన్ని మొదట నుంచి మాట్లాడుకోవాలి.","Sorry, we're gonna have to take this from the top."
"35","00:01:53,740","00:01:56,325","ఇంఛార్జ్ ఎవరు? డ్యూపాంట్ లో నేను చాలా కాలం పని చేశాను.","Who's in charge? I've done wh... A ton of work on Dupont."
"36","00:01:56,326","00:01:58,285","సరే, మొదటగా, అతను స్వచ్ఛందంగా తప్పుకున్నాడు.","Okay, it was a mandatory withdrawal, first of all."
"37","00:01:58,286","00:02:00,329","- ఆ తరువాత విచారణ మొదలైంది... అవును. - స్వచ్ఛందంగా తప్పుకున్నాడా?","- But then trail... Yes. - Mandatory withdrawal?"
"38","00:02:00,330","00:02:03,333","- హాయ్, నా పేరు మార్జొరీ, ఆల్బర్ట్ భార్యని. - హాయ్.","- Hi, I'm Marjorie, Albert's wife. - Oh, hi."
"39","00:02:04,000","00:02:07,086","నా పేరు గ్రెగ్, డాన్ భర్తని. - మిమ్మల్ని కలవడం సంతోషం. - సంతోషం.","Greg, Dan's husband. - Oh, nice to meet you. [chuckles] - Nice to meet you."
"40","00:02:07,087","00:02:09,003","నేను సిల్వియా. చార్లీ భార్యని.","Sylvia. I'm Charlie's wife."
"41","00:02:09,004","00:02:10,339","**[NO TELUGU MATCH FOUND]**","- [inhales deeply] - [Marjorie] Mmm."
"42","00:02:10,340","00:02:11,841","**[NO TELUGU MATCH FOUND]**","[sighs] Mm-hmm."
"43","00:02:14,386","00:02:15,387","**[NO TELUGU MATCH FOUND]**","Mmm."
"44","00:02:16,096","00:02:17,096","అది ఒక ఘోరమైన ఘటన.","[Albert] It's a disaster."
"45","00:02:17,097","00:02:19,056","- ఆ సంఘటన విచారణలో ఉంది. - రిలాక్స్.","- [Albert] It's the event trial right now. - [Rachel] Relax."
"46","00:02:19,057","00:02:22,977","- జెంటిల్మెన్, సరదాగా గడుపుతున్నారు. - హేయ్, ఫ్రాంక్. నీ స్పీచ్ ఎలా వచ్చింది?","- Gentlemen, playing through. [laughing] - Oh, hey, Frank. How's the speech coming?"
"47","00:02:22,978","00:02:24,687","- అది ఎలా వచ్చింది? - నిదానంగా ఉంది.","- [Tasmin] how's it coming? - Oh, slow."
"48","00:02:24,688","00:02:28,607","అది ముగించడం కోసం మనం ఈ మధ్యాహ్నం కార్యక్రమాలన్నీ ఎగగొట్టాలి అనుకుంటా. ఎవరు పట్టించుకుంటారు?","We're gonna have to skip all the afternoon sessions to finish the damn thing. But who cares?"
"49","00:02:28,608","00:02:34,905","కొంతమంది లాయర్లు బార్ లోకి వెళ్లడానికి ఎదురు చూస్తుంటారు. నేను చెప్పింది నిజమే కదా? సారీ. మరేం ఫర్వాలేదు. ఏదో మంచికే అయింది.","It's a bunch of lawyers just waiting to get to the bar. Am I right? Oh. Oh, I'm sorry. [chuckles] Oh, it's okay. It's probably for the best. [stammers]"
"50","00:02:34,906","00:02:36,407","ఫ్రాంక్ షేఫర్.","Frank Schaeffer."
"51","00:02:36,408","00:02:39,326","సిల్వియా గ్రీవ్స్. అవును. మనం గతంలో కొన్నిసార్లు కలిశాం.","Sylvia Grieves. Yeah. We've actually met before a few times."
"52","00:02:39,327","00:02:41,745","మన్నించాలి. నేను పేర్లని గుర్తుంచుకోవడంలో ఘోరంగా ఉంటాను.","Oh, forgive me. I'm terrible with names. [laughs]"
"53","00:02:41,746","00:02:45,040","లేదు, నేను మీకు అనవసరంగా ఇబ్బంది కలిగిస్తున్నాను. ఊరికే అంటున్నాను. మిమ్మల్ని కలవడం సంతోషం.","No, I'm just giving you a hard time. Just kidding. [laughs] Nice to see you."
"54","00:02:45,041","00:02:47,167","- ప్రొసెకో? - అవును.","- Prosecco? - Yes."
"55","00:02:47,168","00:02:50,170","ఒక నిమిషం ఆగు. నువ్వు మెజ్జలూనాలో పని చేసేవాడివా?","Wait a minute. Did you use to work at Mezzaluna?"
"56","00:02:50,171","00:02:51,422","మూడు సంవత్సరాల కిందట.","Three years ago."
"57","00:02:51,423","00:02:55,342","ఆగు. ఒహాయో నుంచి వచ్చిన కెనెత్ కదా.","Wait. Kenneth from Ohio."
"58","00:02:55,343","00:02:58,680","అవును. ఓహ్, దేవుడా. నేను సరిగ్గా చెప్పానా? సరిగ్గా చెప్పానా?","- Yes. Oh, my God. - [chuckles] Am I right? Am I right?"
"59","00:02:59,556","00:03:01,600","ఇది ఒక వరం. సరే, ఇంక తాగుదాం.","It's a gift. All right, let's drink."
"60","00:03:18,909","00:03:20,744","**[NO TELUGU MATCH FOUND]**","[ringing]"
"61","00:03:21,369","00:03:22,370","**[NO TELUGU MATCH FOUND]**","[grunts]"
"62","00:03:24,331","00:03:28,543","**[NO TELUGU MATCH FOUND]**","[sighs]"
"63","00:03:30,295","00:03:31,296","**[NO TELUGU MATCH FOUND]**","[grunts]"
"64","00:03:44,559","00:03:48,437","అప్పుడు నేను మా ఆంటీ వాళ్ల అపార్టుమెంట్ లో నా కజిన్స్ తో పాటు ఉన్నాను, ఇంకా మా ఆంటీ ఒక పక్క వంట చేస్తోంది.","So I'm at my aunt's apartment with my cousins, and my aunt's cooking dinner."
"65","00:03:48,438","00:03:50,523","నాకు ఇష్టమైన వంటకాలు. ఏడు పొరల డిప్ వంటకం.","My favorite kind of dinner. Seven-layer dip."
"66","00:03:51,441","00:03:52,692","అప్పుడు ఎవరు వచ్చారో తెలుసా?","And guess who walks in?"
"67","00:03:54,361","00:03:56,779","నువ్వు ఎప్పటికీ ఊహించలేవు, ఎందుకంటే అతను ఎవరో నీకు తెలియదు.","I don't think you're ever gonna guess, 'cause you don't know him."
"68","00:03:56,780","00:04:00,950","అప్పుడు అతను ఏం అన్నాడంటే, ""మనం హై స్కూల్ తరువాత ఒకరినొకరం కలుసుకోలేదు కాబట్టి, దాని అర్థం మనం ఇంక ఫ్రెండ్స్ కాదని కాదు.""","Then he's like, ""Just because we haven't seen each other since high school, doesn't mean we're not friends anymore."""
"69","00:04:00,951","00:04:02,743","""మనం హై స్కూలులో స్నేహితులమా?"" అని నేను అన్నాను.","I'm like, ""Were we friends in high school?"""
"70","00:04:02,744","00:04:05,162","ఎందుకంటే అతను నా నెత్తి మీదకి చికెన్ శాండ్విచ్ లు విసిరేవాడు.","Because he used to throw chicken sandwiches at my head."
"71","00:04:05,163","00:04:07,624","పైగా అది పబ్లిక్ స్కూలు, అందులో చికెన్ చాలా గట్టిగా ఉండేది.","And it was public school, so the chicken was hard as fuck."
"72","00:04:08,166","00:04:09,208","**[NO TELUGU MATCH FOUND]**","[sighs, sniffs]"
"73","00:04:09,209","00:04:12,945","అప్పుడు, మేము అతని ఇంటికి వెళ్లాం, అతని చిన్న తమ్ముడు అరుస్తున్నాడు, ""నా ఎక్స్ బాక్స్ ని ముట్టుకోవద్దు.""","So, we're at his place, and his little brother is all like, ""Don't touch my Xbox."""
"74","00:04:13,213","00:04:15,756","అప్పుడు నేను, ""నేను ఇప్పుడు ఎక్స్ బాక్స్ అసలు ఆడటమే లేదు, చిన్న బాబు"" అన్నాను.","And I'm like, ""I don't even play Xbox anymore, little man."""
"75","00:04:15,757","00:04:18,216","నేను చెప్పింది అర్థమైందా? అంటే, నేను... నేను పిల్లల వస్తువులు పక్కన పెట్టేశాను.","You feel me? Like, I-I put aside childish things."
"76","00:04:18,218","00:04:21,136","సెట్లర్స్ ఆఫ్ కెటాన్ లాంటి పెద్దవాళ్ల ఆటలు ఆడతాను.","I play... I play adult games like Settlers of Catan."
"77","00:04:21,137","00:04:22,763","- నువ్వు ఎప్పుడైనా ఆ ఆట ఆడావా? - లేదు.","- You ever played that? - No."
"78","00:04:22,764","00:04:28,435","దాన్ని ఇప్పుడు కేవలం ""కెటాన్"" అంటున్నారు, ""సెట్లర్స్ ఆఫ్ కెటాన్"" కాదు, ఎందుకంటే సెట్లర్ల వలసవాదం తాలూకు ప్రభావం ఉంటుంది. పెన్నీ బ్రూయింగ్","It's actually just called ""Catan"" now, not ""Settlers of Catan,"" because of the implications of settler colonialism."
"79","00:04:28,436","00:04:32,022","ఇంకా 7 ఎలెవెన్ స్టోర్స్ ని నిజంగా మూసివేశారు. దాన్ని మూసివేస్తారని నాకు కనీసం తెలియదు.","And the 7-Eleven was literally closed. I didn't even know it could close."
"80","00:04:32,023","00:04:33,941","అది ఇరవై నాలుగు గంటలు తెరిచి ఉంచే స్టోర్ కదా?","Isn't that supposed to be a 24-hour place?"
"81","00:04:33,942","00:04:39,989","అంటే వారంలో ఏడు రోజులు. రాత్రి పదకొండు గంటల వరకు? చెత్త డబ్బా! అయ్యో, పాపం. నీకు దెబ్బ తగిలినట్లు ఉంది.","You know, like seven days a week. Seven till 11? Ow! Fucking shit! Ah, shit, man. That looked like it hurt."
"82","00:04:39,990","00:04:42,700","- బాగా తగిలింది. - ఏది ఏమైనా, నేను ఏం చెబుతున్నాను?","- It did. [grunting] - Anyway, where was I?"
"83","00:04:42,701","00:04:45,411","అవును, ఏడు అంటే వారంలో ఏడు రోజులు, కానీ పదకొండు అంటే...","Yeah, the seven is for seven days a week, but the 11 is..."
"84","00:04:45,412","00:04:48,330","అది పదకొండు, హమ్...","It's 11... Ugh. Eleven, um..."
"85","00:04:48,331","00:04:50,749","అది అప్పుడు మూతపడుతుంది, బాబు. రాత్రి పదకొండు గంటలు.","When it closes, man. Oh, 11:00 p.m."
"86","00:04:50,750","00:04:52,376","- అవును. - ఓహో.","- Yes. - Damn."
"87","00:04:52,377","00:04:56,297","సెవెన్ ఎలెవన్ నుంచి ఎప్పుడూ ఏదో ఒకటి దొంగిలించేవాడిని, తెలుసా, కానీ నాకు ఆ అవసరం ఉండేది కాదు, నా దగ్గర డబ్బు ఉండేది.","You know, I used to steal from 7-Eleven all the time, but I didn't have to, I had the money."
