Index,Telugu Text,Mapped English Text
5,మీకేమైనా తీసుకురానా?,Get you anything?
6,అలోహా.,Aloha.
7,మహాలో.,Mahalo.
8,"రాబై షర్మన్. హలో, అబ్బాయ్.","Rabbi Sherman. Hello, boychick."
9,లేకపోతే నిన్ను పింగ్-పాంగ్ రాజు అని పిలవాలా? అవును.,Or should I say the king of Ping-Pong? [MAN] It's true.
10,చూసుకో. అతను నింజాలా కదులుతాడు. ధన్యవాదాలు.,Watch out. He has ninja moves. [MAN] Thanks.
11,ఓహ్. థియా. నువ్వు పోడుగవుతున్నావు లేదా నేను పొట్టవుతున్నాను.,"Thea? Either you're growing, or I'm shrinking. [CHUCKLES]"
12,"హే, నిక్ ఇంకా టోనీ కదా?","Hey, Nick and Toni's, right?"
13,బుధవారం రాత్రి. నీకు ఫోన్ చేస్తాను! సరే.,Wednesday night. I'm calling you! You got it. Wednesday night. I'm calling you! You got it.
14,మీకు కార్న్ నచ్చుతుంది.,You're gonna love the corn.
15,"రౌండ్ స్వామ్ప్ పొలంలోది. నేనే తెచ్చాను. ఇక్కడున్నావా! అందరూ, తప్పుకోండి!","Round Swamp Farm's. I shucked it myself. There he is! [BOTH LAUGH] Everybody, duck!"
16,అనద్దు. అనాలని కూడా అనుకోవద్దు. ఏంటి?,Don't say it. Don't even think it. What?
17,నేను నీతో మళ్ళీ ఎప్పుడూ గోల్ఫ్ ఆడను. ఎందుకు?,I'm not playing golf with you again. [MAN 2] Why not?
18,"""ఎందుకా?"" అది గోల్ఫ్ కాదు. అది హాకీలా ఉంది.","""Why not?"" That wasn't golf. That was more like hockey."
19,నాకు భయం వేసింది.,I was afraid for my life.
20,నువ్వు హాట్ టబ్ ప్రయత్నించలేదా? నువ్వది ప్రయత్నించి చూడాలి.,Have you tried the hot tub yet? You should try the hot tub.
21,నువ్వు కూడా దాన్ని మిస్ అవలేవు.,Even you can't miss that.
22,"నేను బెంజమిన్, ఏమవుతోంది?","Ooh, I ought to Benjamin, what's going on?"
23,నీకు వేడిగా ఉన్నట్టు అనిపిస్తోంది. కళ్ళు తిరిగి పడిపోతావు అన్నట్టు ఉన్నావు.,You look so hot. You look like you're gonna faint.
24,నాకు తాజా గాలి సరిపడదు.,Fresh air doesn't agree with me.
25,"అదంతా మీ అమ్మ నిన్ను బయటకి తీసుకురాకుండా పెంచడం వల్లే. పదా. మనం లోపలికి వెళ్దాము, సరేనా? అక్కడ ఎయిర్ కండిషనింగ్ ఉంది.","Well, that's because your mother raised you as veal. [CHUCKLES] Come on. Let's go in here, all right? There's air-conditioning."
26,"అక్కడ వందల కొద్దీ సినిమాలు ఉన్నాయి, అన్నిటికీ అకాడమీ అవార్డులు వచ్చినవే. బాల్స్ ఉన్నాయి చూసుకో.","There are hundreds of movies, all Academy Award winners. [GRUNTS] Mind the boccie balls."
27,లీసా. ఐక్ హెర్ష్ కాఫ్.,"[SPEAKING, INDISTINCT] Lisa. Ike Herschkopf."
28,హాయ్. వచ్చినందుకు ధన్యావాదాలు.,Hi. Thanks for coming.
29,ఎప్పటిలా చాలా అందంగా ఉన్నావు. ధన్యవాదాలు.,You look gorgeous as always. Thank you.
30,మనం ఒక ఫోటో తీసుకోవడానికి నీకేమీ అభ్యంతరం లేదు కదా?,You don't mind if we get a picture real quick?
31,"లేదు. సరే, ఏ బటన్ నొక్కాలి.","Sure. Okay, so which button is."
