"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:10,219","00:00:12,638","**[NO TELUGU MATCH FOUND]**","[ticking]"
"2","00:00:16,015","00:00:17,518","**[NO TELUGU MATCH FOUND]**","[dings]"
"3","00:00:22,064","00:00:23,815","**[NO TELUGU MATCH FOUND]**","[radio static]"
"4","00:00:34,326","00:00:36,078","**[NO TELUGU MATCH FOUND]**","[ticking]"
"5","00:00:55,973","00:00:56,974","**[NO TELUGU MATCH FOUND]**","[sighs]"
"6","00:00:58,934","00:01:00,394","**[NO TELUGU MATCH FOUND]**","[ticking continues]"
"7","00:01:06,233","00:01:07,860","**[NO TELUGU MATCH FOUND]**","[dings]"
"8","00:01:26,295","00:01:27,838","**[NO TELUGU MATCH FOUND]**","[sighs]"
"9","00:01:36,471","00:01:38,223","**[NO TELUGU MATCH FOUND]**","[ticking]"
"10","00:01:47,983","00:01:49,860","**[NO TELUGU MATCH FOUND]**","[flies buzzing]"
"11","00:02:48,210","00:02:49,419","**[NO TELUGU MATCH FOUND]**","[dings]"
"12","00:02:51,255","00:02:53,006","**[NO TELUGU MATCH FOUND]**","[engine rumbles]"
"13","00:03:48,353","00:03:49,354","**[NO TELUGU MATCH FOUND]**","[horn honks]"
"14","00:05:29,204","00:05:33,959","మా కస్టమర్లకు గమనిక: మేనేజ్మెంట్ మీ యూనిట్లను తెరవాల్సి వచ్చింది.","To all of our customers: Management was obligated to open your units."
"15","00:05:34,042","00:05:36,712","నష్టపరిహారం ఇవ్వబడుతుంది. క్షమించండి.","Restitution will be made. Apologies."
"16","00:06:28,222","00:06:29,223","**[NO TELUGU MATCH FOUND]**","[sniffs]"
"17","00:07:29,700","00:07:31,785","**[NO TELUGU MATCH FOUND]**","[phone rings]"
"18","00:07:31,869","00:07:33,537","**[NO TELUGU MATCH FOUND]**","[sighs]"
"19","00:07:47,509","00:07:49,511","**[NO TELUGU MATCH FOUND]**","[ringing continues]"
"20","00:07:52,181","00:07:53,932","**[NO TELUGU MATCH FOUND]**","[sighs]"
"21","00:07:55,934","00:07:57,311","**[NO TELUGU MATCH FOUND]**","[ringing stops]"
"22","00:08:10,949","00:08:12,993","**[NO TELUGU MATCH FOUND]**","[phone rings]"
"23","00:08:22,961","00:08:24,922","హలో, సర్.","[Carol] Uh… Hola, señor."
"24","00:08:26,048","00:08:27,174","మే యామో…","Me llamo--"
"25","00:08:45,192","00:08:47,194","**[NO TELUGU MATCH FOUND]**","[phone rings]"
"26","00:09:00,874","00:09:03,418","ఓలా, యో సోయ్ కారోల్ స్టుర్క.","Hola, yo soy Carol Sturka."
"27","00:09:03,502","00:09:09,424","ఎస్టోయ్ దే లోస్… యునైటెడ్ స్టేట్స్… నన్ను వదిలేయండి, వెధవల్లారా!","Uh, estoy de los… [clears throat] …United States-- [in Spanish] Leave me alone, you sons of bitches!"
"28","00:09:28,819","00:09:30,737","**[NO TELUGU MATCH FOUND]**","[phone rings]"
"29","00:09:35,492","00:09:37,995","పోయి చావరా, పోరంబోకు!","[Carol] Fuck your mother, asshole!"
"30","00:09:38,078","00:09:39,705","**[NO TELUGU MATCH FOUND]**","[bashing phone]"
"31","00:10:14,364","00:10:16,366","**[NO TELUGU MATCH FOUND]**","[theme song playing]"
"32","00:11:02,329","00:11:03,622","**[NO TELUGU MATCH FOUND]**","[sighs]"
"33","00:11:24,059","00:11:25,435","**[NO TELUGU MATCH FOUND]**","[engine starts]"
"34","00:11:25,519","00:11:27,604","**[NO TELUGU MATCH FOUND]**","[""Genie in a Bottle"" plays on radio]"
"35","00:11:37,865","00:11:39,449","**[NO TELUGU MATCH FOUND]**","[engine dies]"
"36","00:11:45,122","00:11:46,123","**[NO TELUGU MATCH FOUND]**","[sighs]"
