"Index","Telugu Text","Mapped English Text"
"5","నీకు మహిళలంటే ఇష్టమా, జిమ్మీ?","[Lauren] Do you like women, Jimmy?"
"6","మీకేం అనిపిస్తోంది?","What do you think?"
"7","నాకు వాళ్లంటే ప్రాణం.","I love 'em."
"8","అవునా?","Yeah?"
"10","వాళ్లలో నీకేం నచ్చుతుంది?","What do you like about them?"
"11","అన్నీ.","Everything."
"12","నాకు అక్కాచెల్లెళ్లు ఉన్నారు.","I got sisters."
"14","మహిళల్లో మంచితనం ఎక్కువ ఉంటుంది.","Women are more kind."
"15","ఒక మగవాడితో కన్నా నేను మహిళతోనే ఇంకా ఎక్కువ సరదాగా గడపగలను.","I can chill with a woman in a way I never could with a dude."
"16","నాలా ఉండగలను.","I can just be."
"17","కానీ నీకు వాళ్లలో నచ్చిన విషయాలేంటి?","But what do you like about them?"
"18","నాకు ఇది బాగా నచ్చింది.","I like this."
"19","తప్పకుండా జరుగుతుంది అని నేను చెప్పడం లేదు, కానీ అవకాశమైతే ఉంది.","I'm not saying anything's gonna happen, but possibility's there."
"20","నీకు మహిళల్లో నచ్చని విషయాలేంటి?","What don't you like about women?"
"21","అలా అని నాకేమీ లేవు.","Nothing."
"22","లారీ హాల్ కి మహిళల్లో నచ్చని విషయాలు ఏమయ్యుంటాయని అనుకుంటున్నావు?","What do you think Larry Hall doesn't like about women?"
"23","అది నాకెలా తెలుస్తుంది?","How the fuck do I know?"
"24","అయితే, నీ వల్ల నాకు ఉపయోగం ఏంటి?","So, what good are you to me?"
"25","మీ ఇద్దరిలో కామన్ గా ఏవైనా అంశాలు ఉంటే, అవి నాకు చెప్పు, లేదా నీతో మాట్లాడి నా సమయం వృధా చేసుకోలేను.","You show me you can find common ground with this man, or you are wasting my time."
"27","మీరు మహిళలని చంపుతున్నట్టు కలలు కంటారని చెప్పారు కదా?","[Brian, muffled] You said you dreamed of killing women?"
"28","మీరు ఆ మాట అన్నారు.","You said you dreamed of killing women."
"29","లారీ.","[normal voice] Larry."
"30","ఏంటి?","What?"
"30","నా కలలు అలా ఉండవు.","I dre , , it's not like that."
"31","అంటే, కలల్లో చంపేది నేను కాదు.","No, I I don't dream of killing women."
"32","నాకు వాళ్లు హత్యకు గురవుతున్నట్టు కలలు వస్తాయి, అంతే.","I just have a lot of dreams from killing them."
"33","గ్యారీ కూడా కింద పడిపోతున్నట్టు తనకి కలలు వస్తాయని చెప్పాడు.","You know. And, , G-Gary says that he has a lot of dreams about falling."
"34","ఆహా. గ్యారీ అంటే ఎవరు?","Who's Gary?"
"35","నా కవల సోదరుడు.","My twin."
"37","తనకి నీళ్లలో మునిగి చనిపోతున్నట్టు చాలా కలలు వస్తాయని ఒకసారి గ్యారీ నాతో చెప్పాడు.","[chuckles] G-Gary also once told me that he has a lot of dreams about drowning."
"38","కానీ మహిళలను చంపే కలలు రావు కదా?","But not killing women, right?"
"38","అలాంటివి మీకే వస్తాయి.","That's more your thing."
"39","ఈ కలలు ఎలా ఉంటాయో చెప్పండి, లారీ.","And tell me what these dreams are like, Larry."
"40","కలలు.","The dreams are like."
"41","అవి.","It's like, um."
"43","నేను పై నుండి నన్ను చూస్తుంటాను అన్నమాట, అంటే నా శరీరంలో నేను లేనట్టుగా.","I'm kinda looking down on myself, like I'm not in my body."
"44","మరి మీ శరీరం ఏం చేస్తోందో గుర్తుందా, లారీ?","Do you remember what your body is doing, Larry?"
"45","ఖచ్చితంగా అయితే చెప్పలేను.","I can't tell you exactly."
"46","కానీ అది ఏదో చెడు చేస్తుందని మాత్రం చెప్పగలను.","I only remember that it's something bad."
"47","మహిళలను చంపే చోట కదా?","[Brian] Where women are being killed?"
"48","కొన్నిసార్లు.","Sometimes."
"49","అవును.","Yeah."
"51","మీ కలల్లో వచ్చిన మహిళలు ఎవరైనా ఈమెలా ఉన్నారా?","Do any of the women look like her?"
"53","ఆమెని మీ కలల్లో చూశారా?","She in any of your dreams?"
"54","నాకు ఇంటికి వెళ్లిపోవాలనుంది.","I wanna go home now."
