"Index","Telugu Text","Mapped English Text"
"1","బేబీ, నువ్వు వ్యాపార భాగస్వామివి అయ్యావు.","Baby, you made partner."
"2","మనం రిట్రీట్ వేడుకలో పాల్గొంటే తప్ప భాగస్వామి అయ్యామన్న ఫీలింగ్ ఉండదని కొందరు అంటారు. ఇంతకుముందు అది వినలేదు.","They say you don't feel like a partner until you've been to the retreat. I've never heard that before."
"3","అయితే, అది నేనే కల్పించా, ఇప్పుడు వ్యాపార భాగస్వామిని కాబట్టి ఆ పని చేయగలను.","Well, I just made it up, but I can do that now because I'm a partner."
"4","నీ నుంచి వెలువడుతున్న పవర్ చూస్తుంటే నాలో శృంగారభావన కలుగుతోంది.","[sighs] The power emanating from you is really turning me on."
"5","అవును, నాలో కూడా ఆ భావన కలుగుతోంది. అవును.","Yeah, it's turning me on too. Yeah."
"6","హేయ్, నా ఐడి కార్డు పట్టీ ఇస్తావా? నీ పట్టీ.","Hey, , why don't you get my lanyard? Ooh, your lanyard."
"7","థాంక్యూ.","Thank you."
"8","ఇదిగో వేసుకో. వావ్.","[clicks tongue] Ooh, there it is. Wow."
"9","ఇది చూడు. నీకు క్యూ.ఆర్. కోడ్ ఉంది.","[sighs] Look at that. You got a QR code."
"10","పూర్తి షెడ్యూల్ కోసం నేను ఆ క్యూ.ఆర్. కోడ్ ని స్కాన్ చేయాలి. నేను నిన్ను ప్రేమగా స్కాన్ చేస్తాను. వావ్.","I gotta scan that QR code for the full schedule. , yeah. I'm gonna scan your ass. [chuckles] , wow. [sighs]"
"12","నువ్వు ఎప్పుడూ కలగన్నది ఇదేనా?","Is this everything you ever dreamed of?"
"13","అవును, ఇంత కన్నా తక్కువే, అది నిజం కావాలని ఊహించుకున్నాను.","Yes, but even blander, if that's possible."
"14","సిల్వియా. ఓహ్, దేవుడా. హాయ్. హేయ్, స్టివర్ట్, నిన్ను కలవడం సంతోషంగా ఉంది.","Sylvia. , my God. , hi. Hey, Stewart, nice to see you."
"15","నువ్వు రావడం సంతోషం. ఇప్పుడు ఈ వేడుక అంత బోర్ కొట్టదు. అది నీ అభిమానం.","[chuckles] I'm so glad you're here. It's gonna be so much less boring. Aw, you're so sweet."
"16","కానీ, వసతితో పాటు సెలవుని ఇచ్చినందుకు, ఈ భాగస్వాముల వేడుకలో మొదటి వరుస సీటు ఇచ్చినందుకు మాకు చాలా ఆనందంగా ఉంది.","Well, we're very excited for our staycation, and me for my front-row seat of the partners' orgy."
"17","ఈ వేడుక ఒక రహస్యంగా ఉండాలి. అది నా పొరపాటే. చీజ్ వంటకాలు, హలో.","The orgy is supposed to be a secret. My bad. Cheese platter, hello."
"18","ఆ ఫ్లోరెసెంట్ ఆకుపచ్చ క్యూబ్స్ ని సిఫార్సు చేయవచ్చా?","May I recommend the florescent green cubes?"
"19","వాటి రుచి అమోఘంగా ఉంటుంది.","They taste like nothing."
"20","ఫ్రాంక్ షేఫర్, అతని ఉపన్యాసాలు అనంతం. ప్రధాన వక్త ఫ్రాంక్ షేఫర్","[sighs] Frank Schaeffer, his speeches are endless."
"21","మనల్ని బందీలుగా చేసి తన గోల్ఫ్ విజయగాథల్ని వినిపించడం కోసమో అతను ఈ సంస్థని స్థాపించాడని నాకు అనిపిస్తుంది.","I think he founded the firm so he can hold us all hostage with his golf stories."
"22","దేవుడా. ఈ మనిషి. ఇతనిని ఓ డజను సార్లు కలిశాను.",", my God. That guy. I've met him a dozen times."
"23","అతను నా పేరుని గుర్తుంచుకోడు. ఒక్కసారి కూడా.","He never remembers my name. Not once."
"24","ఎవరి పేరునీ అతను గుర్తుంచుకోడు.","Never remembers anybody's name."
"25","సక్సెస్ అయిన వాళ్లకి అదొక వరం.","It's one of the perks of being successful."
"26","నేను ఎవరి పేర్లనీ గుర్తుంచుకోలేనంత సక్సెస్ సాధించాలని తహతహలాడుతున్నాను.","I cannot wait to be successful enough that I don't have to remember the names."
"27","హేయ్, హేయ్, హేయ్. ఈ షోకి స్వాగతం, కొత్త భాగస్వామి.","Hey, hey, hey. Welcome to the show, newbie. [laughs]"
"28","హేయ్. అవును. హేయ్, కొత్త భాగస్వామి.","Hey. [laughs] Yeah. Hey, newbie. [laughing]"
"29","అభినందనలు, భాగస్వామి. అది కౌబాయ్ యాస. ఆ యాసని చాలా బాగా అన్నారు. సిల్వియా, మీది ఆస్ట్రేలియా కదా.","[laughing] Congratulations, partner. That was a cowboy accent. , and a fine one at that. [chuckles] Sylvia, you're from Australia."
"30","కౌబాయ్ ల గురించి నీకు ఏం తెలుసు?","What do you know about cowboys?"
"31","హేయ్, డ్యూపాంట్ నుండి మిల్టన్ ని తప్పించడం గురించి మీరు విన్నారా?",", hey, did you guys hear that Milton got taken off Dupont?"
"32","ఏంటి?","What?"
"33","ఆగండి, స్వారెజ్ తో చేసే లావాదేవీలన్నీ మిల్టన్ చూసేవాడు కదా. ఒకప్పుడు చూసేవాడు. ఇంక చూడటం లేదు.","Wait, Milton was running point on everything to do with Suarez. , he was. Not anymore. [chuckles]"
"34","సారీ, మనం ఈ విషయాన్ని మొదట నుంచి మాట్లాడుకోవాలి.","Sorry, we're gonna have to take this from the top."
"35","ఇంఛార్జ్ ఎవరు? డ్యూపాంట్ లో నేను చాలా కాలం పని చేశాను.","Who's in charge? I've done wh A ton of work on Dupont."
"36","సరే, మొదటగా, అతను స్వచ్ఛందంగా తప్పుకున్నాడు.","Okay, it was a mandatory withdrawal, first of all."
"37","ఆ తరువాత విచారణ మొదలైంది అవును. స్వచ్ఛందంగా తప్పుకున్నాడా?","But then trail Yes. Mandatory withdrawal?"
"38","హాయ్, నా పేరు మార్జొరీ, ఆల్బర్ట్ భార్యని. హాయ్.","Hi, I'm Marjorie, Albert's wife. , hi."
"39","నా పేరు గ్రెగ్, డాన్ భర్తని. మిమ్మల్ని కలవడం సంతోషం. సంతోషం.","Greg, Dan's husband. , nice to meet you. [chuckles] Nice to meet you."
"40","నేను సిల్వియా. చార్లీ భార్యని.","Sylvia. I'm Charlie's wife."
