File_Path,Original_Index_1,Original_Index_2,New_Timestamp,Merged_Dialogue_Start
2 t.srt,4,5,"00:00:25,277 --> 00:00:31,908","నాకు వీళ్లలో ఒక్కరు కూడా తెలియదు, కానీ వాళ్లు మిమ్మల్ని ఏదైనా చేయాలని ప్రయత్నిస్తే, మీలో ఎవరైనా వాళ్"
2 t.srt,10,11,"00:00:44,671 --> 00:00:48,925","మరికొద్ది ప్రయాణం తరువాత మీరు ఈ పనిని చేయాలి అనుకున్నారు, కానీ ఆ పెద్దమనిషి హడావుడిగా ఫస్ట్ క్లాస్ ల"
2 t.srt,17,18,"00:01:02,188 --> 00:01:07,110","చూడు, మొదటి గంటలోనే ఇంత గందరగోళం జరిగితే, తరువాత ఆరు గంటల్లో ఇంకెంత జరగచ్చో ఊహించండి."
2 t.srt,108,109,"00:09:27,986 --> 00:09:31,281","చూడు, బాబీకి నిన్న అపెండిక్స్ సమస్య వచ్చింది, అందువల్ల ఈ రోజు స్కూలుకు వెళ్లడంలేదు,"
2 t.srt,185,186,"00:15:56,875 --> 00:16:02,923","సరే. అంటే, నేను అక్కడ ఆటోపైలెట్ బటన్ ఆన్ చేస్తే, నా ఫ్లయిట్ స్క్రీన్ మీద మనం ఇక్కడ ఉన్నామని చూపిస్తూ"
2 t.srt,261,262,"00:21:19,281 --> 00:21:23,118","ముఖ్యమైన విషయం ఏమిటంటే, విమానంలో ఏం జరుగుతున్నా సరే, అతను బాగానే ఉన్నాడు."
2 t.srt,348,349,"00:28:17,657 --> 00:28:22,412","సరే. మళ్లీ, అవును, కౌంటర్ టెర్రరిజమ్ కేసులు వచ్చినప్పుడు నాకు ఎందుకు ఫోన్ చేస్తావో తెలుసు కానీ..."
2 t.srt,356,357,"00:28:36,635 --> 00:28:41,068","ప్రేమ బంధం వదిలి వెళ్లిపోయిన మనిషి గురించి, అతను ఏం చెప్పినా, ఏం చేసినా ఆమె అంతగా పట్టించుకుంటోంది అ"
2 t.srt,364,365,"00:29:05,163 --> 00:29:08,333","చూడు, డానియెల్. నాదే పొరపాటు అంటే, సరే, - ఆమె కోసం పోరాడవచ్చంటే... - అందుకు ఆమె అర్హురాలు."
2 t.srt,366,367,"00:29:08,333 --> 00:29:12,837","...అప్పుడు ఆమె ఆ వ్యక్తి కోసం తనకి కావలసినంతగా పట్టించుకోవచ్చు, ఎందుకంటే ఆమె నన్ను ఎక్కువ గౌరవించాలన"
2 t.srt,390,391,"00:30:44,512 --> 00:30:52,520","కింగ్డమ్ 2-9 లీమా 602 ఎయిర్వే మీద ఉంది, దయచేసి బాగ్దాద్ కంట్రోల్ కి 123 దశాంశం 52కి కాల్ చేయండి."
2 t.srt,397,398,"00:31:08,328 --> 00:31:12,932","వినండి, ఏదైనా ప్రమాదం జరిగిందని వాళ్లకి అనుమానం వస్తే, వాళ్లు వెంటనే జెట్ విమానాలని పంపిస్తారు, కానీ"
2 t.srt,486,487,"00:37:19,074 --> 00:37:25,247","ఎవరో ఆ విమానంలో ఉన్నవారు యునైటెడ్ కింగ్డమ్ కి ఫోన్ చేశారు, కౌంటర్ టెర్రరిజమ్ ద్వారా మనకి మెసేజ్ అంది"
2 t.srt,488,489,"00:37:26,122 --> 00:37:30,544","కానీ ఆ మెసేజ్ పంపిన ప్రయాణికుడు, ఆ ప్రమాదాన్ని ఎదుర్కొన్న వాడు, అతను కూడా పొరపాటు పడ్డాడు అంటావా?"
2 t.srt,502,503,"00:38:20,051 --> 00:38:25,432","అవును, లేదు, మేము దుబాయ్ తో రెండుసార్లు చెక్ చేసుకున్నాం, - ఇప్పుడు మేము మీతో రెండోసారి చెక్ చేసుకుం"
2 t.srt,510,511,"00:38:46,369 --> 00:38:50,790","అది ఎప్పుడూ వెళ్లే మార్గమేనా? అవును, అది ఫర్వాలేదు, అనుకుంటా, ఇంకా ఆ రూట్ ని టేకాఫ్ కి ముందే అప్ లోడ"
3 t.srt,6,7,"00:00:15,392 --> 00:00:22,023","మేము అనేది, నన్ను కాసేపు మాట్లాడనిస్తే, ఆ విమానం ప్రయాణమార్గం మళ్లడం ఇంకా అనుమానాస్పదమైన కమ్యూనికేషన"
3 t.srt,10,11,"00:00:29,239 --> 00:00:36,746","స్పందించకపోవడం, పైలెట్ చేసిన ప్రకటనలలో వైరుధ్యాలు ఉండటం, ఇప్పుడు ఈ సమయానికి, 8:07 గంటలకి, మాకు తెలిస"
3 t.srt,71,72,"00:05:58,068 --> 00:06:04,366","మేము ఆయనని ఓదార్చాలని చూస్తున్నాము, ఇంకా అదే చెబుతున్నాము, ...మా అందరికీ కూడా అలాగే ఉంది."
3 t.srt,83,84,"00:06:50,912 --> 00:06:57,127","పి.ఎల్.ఓ. లేదా మరెవరైనా హైజాక్ చేసిన ఘటనల్లో, వాళ్లు ఎప్పుడూ అసలైన బులెట్లు వాడటం తను చూడలేదు అంటున్"
3 t.srt,87,88,"00:07:06,052 --> 00:07:10,265","అవి చూపించి జనాన్ని అదుపు చేయవచ్చు, కానీ అవి ఎలాంటి నష్టం కలిగించవు ఎందుకంటే అందులో నిజంగా బులెట్లు "
3 t.srt,91,92,"00:07:18,773 --> 00:07:23,194","బిజినెస్ క్లాసులో పేల్చిన బులెట్, దాని వల్ల ఎవరూ గాయపడలేదు, విమానంలో ఎలాంటి చిల్లు పడలేదు, ఏమీ జరగలే"
3 t.srt,211,212,"00:16:51,596 --> 00:16:56,810","వాళ్లకి చెప్పాను, మీకు ఏమీ దొరకకపోతే, ఖచ్చితంగా బులెట్ లేదని నిర్థారణకి వస్తే,"
3 t.srt,231,232,"00:19:07,315 --> 00:19:13,405","{\an8}విమానం బయలుదేరిన ముప్పై ఐదు నిమిషాల తరువాత, ఎయిర్ ట్రాఫిక్ కంట్రోల్ కి పైలెట్ ఒక కాల్ చేసి"
3 t.srt,234,235,"00:19:16,157 --> 00:19:21,413","తరువాత, ఏడు నిమిషాల తరువాత, పైలెట్ తిరిగి కాల్ చేసి సమస్య పరిష్కారం అయిందని చెప్పాడు."
3 t.srt,238,239,"00:19:26,167 --> 00:19:34,551","అది జరిగిన మూడు నిమిషాల తరువాత, ఒక ప్రయాణికుడు పంపిన సందేశం అక్కడ ఏదో పరిస్థితి తలెత్తిందని నిర్ధారి"
3 t.srt,290,291,"00:22:39,069 --> 00:22:44,157","నన్ను అడ్డుకోవాలని చూసినా, ఆపాలని చూసినా, అక్కడి నుండి కదిలినా, ఆమె ట్రిగ్గర్ నొక్కుతుంది. నీకు అర్థ"
3 t.srt,315,316,"00:25:07,217 --> 00:25:14,224","ఎంతో ప్రఖ్యాతి ఉన్న ఫిజిక్స్ ప్రొఫెసర్ ని మీకు పరిచయం చేయడం చాలా సంతోషంగా ఉంది, మార్షా స్మిత్-నెల్సన"
3 t.srt,319,320,"00:25:30,740 --> 00:25:36,538","అప్పుడు, మా అబ్బాయి, మీకంటే ఒకటి రెండు యేళ్లు చిన్నవాడు, మేము ఇంట్లో లేనప్పుడు పార్టీ చేసుకోవచ్చా అన"
3 t.srt,321,322,"00:25:37,914 --> 00:25:46,006","దానితో, నేను దీర్ఘంగా శ్వాస పీల్చుకుని, దాని గురించి ఆలోచించి, యస్ అని చెప్పాను."
3 t.srt,323,324,"00:25:47,007 --> 00:25:50,844","వారాంతం తరువాత మేము తిరిగి వచ్చాక, నా భాగస్వామి కారుని రోడ్డు చివరన ఆపి నాతో ఏం అన్నాడంటే,"
3 t.srt,339,340,"00:26:56,451 --> 00:27:03,500","మనం ఏదైనా చర్య తీసుకోనంత సేపు, మనం విషయాన్ని తెలుసుకోనంత సేపూ, వైరుధ్యాలు ఎప్పుడూ ఉంటాయి."
3 t.srt,348,349,"00:27:41,162 --> 00:27:48,879","అవి ఖాళీ తుపాకులని నా నమ్మకం, కానీ ఆ తుపాకుల్ని నేను స్వయంగా పరీక్షించకపోతే, నేను ఎలా నిర్ధారించగలను"
