Index,Details,Telugu,English,Status
51,t(2)-e(3) | .. vs ...,నాది. అది నా ఆలోచన.,Mine. Mine. It was mine.,MISMATCH
60,t(4)-e(5) | .... vs .....,ఆగు. వెల్క్రో. ఇవి ఫిజికల్ ఎడ్యుకేషన్ కోసం. వెల్క్రో.,Wait. Velcro. They're for P.E. Velcro.,MISMATCH
89,t(6)-e(7) | ..???? vs ...????,"హేయ్, నువ్వు పైలెట్ తో మాట్లాడావు. ఏమీ జరగలేదని అతను చెప్పాడు. అతను చెప్పింది తప్పు కావచ్చు కదా? అతను తప్పుగా ఎందుకు చెబుతాడు? అతను అబద్ధం ఆడి ఉండచ్చు కదా? ఎందుకు అబద్ధం చెబుతాడు?",Hey. You spoke to the pilot. He said it was nothing. What if he's wrong? How could he be wrong? What if he's lying? Why would he lie?,MISMATCH
108,t(4)-e(3) | .... vs ...,"సరే. అంటే, నేను అక్కడ ఆటోపైలెట్ బటన్ ఆన్ చేస్తే, నా ఫ్లయిట్ స్క్రీన్ మీద మనం ఇక్కడ ఉన్నామని చూపిస్తూ ఒక మెసేజ్ వస్తుంది. మీరు చూస్తే గనుక, ఆ ఆటోపైలెట్, ఎపి1 అమలులో ఉంటుంది. ఇంకా ప్రోగ్రామ్ గమ్యాలు ఇక్కడ ఉన్నాయి.","Okay. Well, if I press autopilot there, I get a message on my flight screen here that shows you there, if you look, the autopilot AP1 is engaged. And the program destinations are here.",MISMATCH
188,t(2)-e(3) | .. vs ...,"సరేనా? సరే, లోపలికి వెళ్లు. లోపలికి వెళ్లు.","Yeah? Right, go on in. In you go. In, in, in, in.",MISMATCH
192,t(9)-e(10) | ....?.... vs .....?....,"కిందటి టెర్మ్ లో కూడా అదే చెప్పావు. అపెండిక్స్ ఆపరేషన్ కేవలం ఒక్కసారి మాత్రమే జరుగుతుంది, కాబట్టి దాన్ని ఎదుర్కొందాం. మరి ఇదే మాటని ఎవరైనా రెండుసార్లు చెబితే ఏదో తేడాగా ఉందని అర్థం. నిజం. మరి నువ్వు ఏం చేస్తావు? మా బాస్ నీ అంత తెలివైన వాడు కాకూడదని ఆశిస్తాను. ఇంక నువ్వు లోపలికి వెళ్లు, ప్లీజ్. నువ్వు ఆలస్యం అయ్యావు. లోపలికి, వెళ్లు.","You said that last term. And you can only have your appendix out once, let's face it. So if somebody says that twice Something smells dodgy. Something smells dodgy. Yes. What are you gonna do? I'm gonna hope that my boss isn't as clever as you. Now go in, please. You're late. In, in, in.",MISMATCH
193,t(3)-e(2) | ... vs ..,లవ్ యూ. బై బై. గుడ్ బై. లవ్ యూ!,"Love you. Bye-bye. Goodbye, love you!",MISMATCH
244,t(7)-e(8) | ....?.. vs ....??..,"నువ్వు ఏం చేయాలంటే కాక్ పిట్ లోపలికి వెళ్లి ఇక్కడ అంతా బాగానే ఉందని వాళ్లకి చెప్పాలి, వింటున్నావా? నన్ను గనుక కాక్ పిట్ లోపలికి పంపితే, పరిస్థితులు ఇప్పటికంటే ఘోరంగా మారతాయి. నా మాట విను ఆ బెల్టు మీద నీ చేయి తీయి. నేను ఈ సీటు నుండి లేవను. అతను చెప్పింది నోరు మూసుకుని చేయి. సాయం చేస్తావా? నన్ను బలవంతం చేయలేవు. ముందు ఆ బెల్టు పట్టుకో.","What you've gotta do is get in the cockpit and tell them everything is all right, you hear me? If you put me in that cockpit, it's only gonna make matters worse than they are now. Listen to me Just take your hand off the belt. I'm not getting out of this seat. Just do what he says. Can you help? Can you help? You cannot make me. Just grab the belt.",MISMATCH
245,t(4)-e(5) | .... vs .....,"వెళ్లి నీ సీట్లో కూర్చో. ఇలా చేయడంలో అర్థం లేదు. నువ్వు రాకపోతే మనమంతా చనిపోతాం నేను కదలను! నా మీద చేతులు తీయండి, దూరంగా వెళ్లండి! ఆమెని తీసుకురావాలి, తప్పదు. ఆమెని ఇక్కడికి తీసుకురా.","Get back in your seat. There's no point. We're all gonna fucking die unless you go I'm not moving. I'm not moving! Get your hands off me, get off! Get her, for fuck's sake. Bring her here.",MISMATCH
246,t(6)-e(7) | ....?. vs .....?.,"నువ్వు. ఇక్కడికి రా. దేవుడా. సరిగ్గా, ఇక్కడ. హేయ్! చూడు, ఇదిగో, ఇప్పుడు చేస్తావా? వాళ్లని ఇలా చేయనివ్వకు.","Fuck. Come here. Jesus Christ. Right, here. Hey, hey, hey, hey! Look. Here, all right? Now don't make them do this.",MISMATCH
249,t(5)-e(3) | ..... vs ...,"కెఎ29 జి-కె.ఎన్.డి.ఎమ్. బాగ్దాద్ కంట్రోల్, ఇది కింగ్డమ్ 2-9. నేను కెప్టెన్ రాబిన్ అలెన్ ని మాట్లాడుతున్నాను. గుడ్ మార్నింగ్. పైలెట్ అలెన్, దయచేసి మీ పుట్టినరోజు, సెక్యూరిటీ ప్రశ్నని ఖరారు చేయండి.","Baghdad control, this is Kingdom 2-9, Captain Robin Allen speaking. Good morning. Pilot Allen, please confirm date of birth, security question.",MISMATCH
273,t(11)-e(10) | .??.???.... vs .??.???...,"అనుమానాస్పదం. అనుమానాస్పదమా? నువ్వు దుబాయ్ కి ఫోన్ చేశావు మరి దుబాయ్ వాళ్లు ఏం చెప్పారు? తప్పుడు హెచ్చరిక. చూడు? అయితే, రెండు కాల్స్ జరిగాయా? ఏంటి? ఇదిగో విను. సరే, నీకు ఫోన్ వచ్చింది, నువ్వు దుబాయ్ కి ఫోన్ చేశావు. అంతకుముందే దుబాయ్ కి ఒక కాల్ వెళ్లింది. అది అప్పటికే పరిష్కారం అయింది.","Suspected. Suspected? You ring Dubai and Dubai say what exactly? False alarm. See? So, there were two calls? Sorry? Here we go. Well, you get a call, you call Dubai, Dubai had already had a call earlier. It was already sorted.",MISMATCH
291,t(3)-e(2) | ... vs ..,కెఎ29 జి-కె.ఎన్.డి.ఎమ్. ట్రాక్ 323 డిగ్రీలు అదిగో. అక్కడ.,Yeah. There.,MISMATCH
