"Index","Telugu Text","Mapped English Text"
"2","సూపర్!","Nice!"
"4","మా నాన్న నా జీవితం చక్కగా ఉండాలని తాపత్రయ పడేవాడని నాతో అనేవాడు.","My old man used to say he wanted me to better myself."
"5","ఐ లవ్ యూ.","I love you."
"6","కానీ అతని కనులు అది నిజం కాదని చెప్పేసేవి.","But I could see in his eyes he didn't."
"7","""నా జీవితం చక్కగా ఉండాలి"" అట.","""Better myself."""
"9","లేదు.","No."
"9","దొరికావు.","I got you."
"10","సూపర్, జిమ్మీ.","Nice, Jimmy."
"10","చక్కగా పరుగెత్తి పట్టుకున్నావు.","Way to get off the line."
"11","సూపర్!","Attaboy!"
"13","లంబోర్గిని.","Gremlin."
"14","వాళ్లు నీకు ఎప్పటికీ చెప్పని విషయమేంటో తెలుసా?","You know what they never tell you?"
"15","అదేంటంటే, నువ్వు జీవించేది నీ పిల్లల కోసమే అన్న విషయం.","They don't tell you that the love of your life could be your child."
"16","నా రోగుల్లో ఎవరి మానసిక స్థితికి అయినా నీ వల్ల ప్రమాదం ఉందా?","Are you a threat to the mental health of any of my patients?"
"17","నీ వల్ల ప్రమాదం ఉందా?","Are you a threat? Are you a threat? Are you a threat?"
"18","హాయ్.","Hi."
"18","ఎక్కడికి వెళ్లిపోతున్నావు?","Where are you heading off to?"
"19","ఇంటికి వెళ్లిపోతాను.","Just gonna go home."
"20","నువ్వు వెళ్లలేవు.","You can't."
"20","మాటిచ్చావు.","You promised."
"21","నేను ఏమీ మాటివ్వలేదు.","I never promised anything."
"22","ఇచ్చావు. నువ్వు ఇచ్చావు.","You did."
"23","నువ్వు మాటిచ్చావు.","You promised."
"26","హేయ్, జేమ్స్.","Hey, James."
"27","ఏంటి?","What?"
"29","జేమ్స్.","James."
"32","హేయ్, జేమ్స్.","Hey, James."
"32","జేమ్స్.","James."
"35","ఏదో కల కంటున్నట్టున్నావే.","You were having some dream."
"36","ఏమైనా కలవరించానా?","Did I say anything?"
"37","లేదు.","No."
"37","కానీ నేను నిన్న నీకు చెప్పిన కథల వల్ల నీకు పీడకలలు వచ్చినట్టున్నాయి.","But it did make me think that my stories yesterday may have given you some nightmares."
"38","కథలా?","Stories?"
"39","అవి కథలే.","That's what they are."
"40","ఒక్కోసారి నేను కథలు చెప్తుంటా.","Sometimes I do that."
"41","నీ స్నేహితులకి అబద్ధాలు కూడా చెప్తుంటావా?","Lie to your friends?"
"42","హా?","Huh?"
"43","ఏంటి?","What?"
"43","లేదు.","No. No."
"44","ఇప్పుడే కదా నాకు చెప్పింది అబద్ధమని అన్నావు.","Well, you just said you lied to me."
"45","అయితే, నువ్వు నీ స్నేహితులతో అబద్ధాలు అయినా ఆడుతుండాలి, లేదా నీ స్నేహితులు కానీ వాళ్లతో అయినా అబద్ధాలు చెప్తుండాలి, ఏదేమైనా నా స్థానం మాత్రం నాకు బాగా తెలిసిపోయింది.","So either you lie to your friends, or you lie to people who aren't your friends, which pretty much tells me where I stand either way."
"46","అలా ఏం కాదు.","That's not it."
"47","సరే.","Okay."
"48","అంటే చూడు, అది.","All right, um All right, look, it's."
"49","శాంతించు, లారీ.","Relax, Larry."
"49","నాకేమీ ఆశ్చర్యం కలగలేదులే.","I'm not surprised."
"50","నువ్వు ఏం అంటున్నావు?","What are you What are you saying?"
"51","ఇంకాసేపు ఉండి లోతుగా ఆలోచిస్తే నువ్వు చెప్పేది అబద్ధమని తెలిసిపోయేది.","I guess if I'd given it more thought, I would have realized you were lying."
"52","నేనేమీ అబద్ధాలు ఆడలేదు.","It's not lying."
"52","అది కథ చెప్పడం.","It's storytelling."
"52","నేను అబద్ధాలకోరుని కాదు.","I'm not a liar."
"52","కథలు చెప్పడంలో నేర్పరిని.","I'm a raconteur."
"53","ఏదోకటిలే.","Look, whatever."
"54","నువ్వు చెప్పే కథలో చాలా లోపాలున్నాయి, అది పక్కాగా ఉన్నట్టు అనిపించలేదు.","Your details were off, and God's in the details."
