"Index","Telugu Text","Mapped English Text"
"4","గాడిదగుడ్డు.","Bullshit."
"5","అది ఇంత వెడల్పుగా ఉంది.","It is this friggin' wide."
"6","అలాగే దానికి క్రమం ఉంది.","And it's periodic."
"7","గాడిద.","Bull."
"7","గుడ్డు.","Shit."
"8","నాకు చూపించు.","Show me."
"11","ఇది ఖచ్చితంగా ఏదో భూమి నుండి వెళ్ళిందే.","Something terrestrial, gotta be."
"12","చంద్రుడిని తాకి వెనక్కి వస్తోంది.","Bouncing off the moon."
"13","అబ్బో.","Gee."
"13","అలా నాకు అనిపించలేదు మరి.","I never thought to check that."
"14","ఒకసారి అది ఏటవాలుగా ఎలా ఉందో చూడు, బాబు.","Look at that slope, man."
"15","నిలబడితే సర్రుమని జారిపోయేలా ఉంది.","You could ski down that thing."
"16","అది జారుతోంది.","It is drifting."
"17","ఇక్కడ చూడు.","Look here."
"17","జూమ్ చెయ్.","Zoom in."
"17","జూమ్ చెయ్.","Zoom in."
"18","ఆ తేడాని చూసావా?","See that variation?"
"19","అలాగే చూడు.","And look."
"19","ఇక్కడ ఉన్న ఖాళీ?","This gap here?"
"19","అది ఇక్కడ ఆగుతుంది, తర్వాత మళ్ళీ మొదలవుతుంది.","This is where it stops, then starts over."
"20","అలా రిపీట్ అవుతుందా?","It repeats?"
"20","ప్రతీ 78 సెకన్లకు ఒకసారి.","Every 78 seconds."
"21","ప్రారంభం నుండి చివరి వరకు.","The whole entire thing."
"22","వరుసగా మూడు గంటల నుండి విరామం లేకుండా వస్తోంది.","Three hours straight, and no end in sight."
"23","ఇది అసాధ్యం.","It can't be."
"26","అది ఖచ్చితంగా చంద్రుడిని తాకి వెనక్కి.","It's gotta be something bouncing off the off the."
"27","అది చంద్రుడిని తాకి వెనక్కి రావడం లేదు, డేవ్.","It's not bouncing off the moon, Dave."
"28","సరే, బహుశా ఫారెస్ట్ సర్వీస్ వాళ్ళ యాంటెన్నా అయి ఉండొచ్చు.","Well, maybe it's those Chatty Cathys at the Forest Service."
"29","నాకు వాళ్లంటే పరమ చిరాకు.","I hate those guys."
"29","ఎప్పుడూ రేడియో పట్టుకుని చెట్ల గురించి వాగుతూనే ఉంటారు.","Always on their radios, talking about trees."
"30","డేవ్, మనకు అందుతున్న సిగ్నల్ ఫారెస్ట్ సర్వీస్ వాళ్ళది కాదు.","Dave, it's not Smokey Bear we're picking up."
"31","ఒకసారి ఆ సిగ్నల్ ని చూడు.","Look at that signal."
"32","అందులో చాలా మార్పులు జరుగుతున్నాయి.","It's drifting."
"33","అయితే మరి ఏమై ఉంటుంది?","What is it, then?"
"35","చూడటానికి ఒక సింపుల్ పల్స్-విడ్త్ మాడ్యులేషన్ లాగ ఉంది.","Looks like simple pulse-width modulation."
"35","ఒకప్పటి మోర్స్ కోడ్ లాగ.","Old-school, like Morse code."
"36","బహుశా ఇది ఫోర్ట్ కాలిన్స్ నుండి వెలువడే టైమ్ సిగ్నల్ ఏమో.","Maybe somehow, it's the time signal out of Fort Collins."
"37","వాళ్ళు కూడా పల్స్-విడ్త్ మాడ్యులేషన్ వాడతారు.","They use pulse-width modulation."
"37","అది అటామిక్ క్లాక్ కాదు.","It's not the atomic clock."
"38","అటామిక్ క్లాక్ ఒక గడియారం కాబట్టి ప్రతీ నిమిషం మారుతుంది.","The atomic clock changes every minute because it's a clock."
"39","ఇది ప్రతీ 78 సెకన్లకు రిపీట్ అవుతున్న ఒకే విధమైన డేటా.","This is the same exact data repeated every 78 seconds."
"40","అంతేకాక, ఇది 600 కాంతి సంవత్సరాల దూరం నుండి వస్తోంది.","Plus, this is coming from 600 light-years away."
"42","ఈ మోర్స్ కోడ్ నాలుగు భాగాలుగా విడినట్టు తెలుస్తోంది.","This Morse code of yours seems to be split four ways."
"43","పల్స్ లు అన్నిటి వ్యవధి ఒకేలా ఉంది, కానీ నాలుగు వేర్వేరు ఫ్రీక్వెన్సీలలో ఏర్పాటు చేయబడి ఉన్నాయి.","The pulses are of equal duration, but they're positioned across four different frequencies."
"44","ఒక ప్లేయర్ పియానోలా ఉంది.","[astronomer] Looks like a player piano."
"44","అంటే బైనరీ కాదు, నాలుగు భాగాలు ఉన్నాయి.","So not binary but base four."
"45","క్వాటర్నరీ.","Quaternary."
"47","దీన్ని ఛేదించడం సులభం కాదు.","This won't be easy to crack."
"50","లేదు, లేదు.","No, no."
"50","ఇది చూస్తే అలా అనిపించదు.","If you look at this."
"50","ఒకసారి.","Look at."
"51","అది ఏమై ఉంటుంది అనుకుంటున్నావు?","[Bob chuckles] What do you think it says?"
"52","బహుశా, ""హలో. హేయ్, హేయ్. మేము ఇక్కడ ఉన్నాం"" అని ఎవరైనా అంటున్నారేమో.","[Ray] Maybe just, ""Hello. Hey, hey. We're out here."""
"53","మనం వాయేజర్స్ 1 ఇంకా 2 మీద ఏం పెట్టాం?","What did we put on Voyagers 1 and 2?"
"53","చక్ బెర్రీ పాటలా?","Chuck Berry?"
"54","బహుశా ఇది వాళ్ళ వెర్షన్ ""జానీ బి. గూడ్"" పాటేమో.","Maybe this is just their version of ""Johnny B. Goode."""
"55","దాన్ని ఇక్కడికి పంపడానికి ఎంత శక్తి అవసరమై ఉండి ఉంటుందో ఊహించు.","Imagine the power it took to send it."
"56","మెగావాట్స్?","Megawatts?"
"56","","[chuckles]"
"57","గిగావాట్స్?","Gigawatts?"
"58","అది కూడా మనవైపు మాత్రమే పాయింట్ చేయబడి ఉంటేనే.","And that's if it's pointed only at us."
"59","ఆఫ్రికా అంత పెద్ద యాంటెన్నా కావాలి.","Antenna the size of Africa."
"59","ఇంకా పెద్దది.","Bigger."
"60","ఒక మెసేజ్ పంపడానికి అంత కష్టపడ్డారు అంటే, ఖచ్చితంగా అది కేవలం ""హలో"" అయి ఉండదు.","You go to all that trouble to send a message, it's gotta be more than just ""hello."""
"61","అలాంటప్పుడు అంత అర్థం కాలేని విధంగా చేయడం ఎందుకు?","And why make it hard to understand?"
"62","క్వాటర్నరీ?","Quaternary?"
"63","అదొక ఎన్క్రిప్షన్ లాగా ఉంది.","That's like encryption."
