"Index","Telugu Text","Mapped English Text"
"1","ఎవరు నువ్వు?","Who are you?"
"2","చూడు, ఈ జనం.","Look, these people."
"3","ఈ జనం ఎవ్వరూ నాకు ఏ మాత్రం ముఖ్యం కాదు.","these people don't mean anything to me."
"3","నాకు వీళ్లలో ఒక్కరు కూడా తెలియదు, కానీ వాళ్లు మిమ్మల్ని ఏదైనా చేయాలని ప్రయత్నిస్తే, మీలో ఎవరైనా వాళ్లలో ఒక్కరిని ఎదుర్కోలేకపోయినా, అప్పుడు ఈ మొత్తం విమానం నేల కూలిపోతుంది.","I don't know any of these people, but if they try something and one of you lot let off one of those, and then this plane goes down."
"3","విమానం భద్రంగా ఉంది.","The plane's secure."
"3","సరే.","Yeah."
"3","ప్రస్తుతానికి, భద్రంగా ఉంది, సరే.","Right now, it is, yeah."
"4","మాకు ఏ సాయం అవసరం లేదు.","We don't need any help."
"4","సరే, ఇప్పటికి మీకు అవసరం లేదు, కానీ మళ్లీ అంతా గందరగోళం అయితే ఏం చేస్తారు?","Well, right now you don't, but what if it all goes wrong again?"
"5","నువ్వు అసలు ఎవరు?","Who the fuck are you?"
"5","మీరు చాలా త్వరగా పని మొదలుపెట్టారు, కదా?","You went too early, didn't you?"
"6","మరికొద్ది ప్రయాణం తరువాత మీరు ఈ పనిని చేయాలి అనుకున్నారు, కానీ ఆ పెద్దమనిషి హడావుడిగా ఫస్ట్ క్లాస్ లోకి పరిగెత్తుకొచ్చాడు ఆయన ఆందోళనగా కంగారుగా కనిపించాడు ఆ తరువాత నువ్వు అతనికి ఆకుపచ్చ టోపీ ఇచ్చావు.","You was gonna do this later on in the flight, then that man came rushing into first class and he was worried and panicking and then you gave him a green hat."
"6","ఆ తరువాత మీకు తెలుసు, అంతా జరిగిపోయింది.","The next thing you know, it was all going off."
"7","అది మీ ప్లాన్ లో భాగం కాదు, కదా?","That wasn't part of the plan, right?"
"7","వెళ్లి అతని పాస్ పోర్ట్ తీసుకో.","Go and get his passport."
"7","అది మీ ప్లాన్ లో భాగం కాకపోవచ్చు.","That can't have been That can't have been part of the plan."
"8","చూడు, మొదటి గంటలోనే ఇంత గందరగోళం జరిగితే, తరువాత ఆరు గంటల్లో ఇంకెంత జరగచ్చో ఊహించండి.","Look, if it's all going wrong in the first hour, imagine what could happen in the next six."
"9","సరే.","Okay."
"10","అతను నీ వైపే వస్తున్నాడు, ఎడీ.","He's coming down your side, Eddie."
"10","హేయ్, ఓయ్.","Hey, oi."
"10","మీరు ఏం చేస్తున్నారు?","What you doing?"
"10","నోరు మూయి.","Shut up."
"12","""సామ్ నెల్సన్.","Sam Nelson."
"12",""" అవును.","Yeah."
"13","మేము మూర్ఖులం అనుకుంటున్నావా.","You think we're stupid."
"14","సామ్ నెల్సన్?","Sam Nelson?"
"14","లేదు, నేను అనుకోను.","No, I don't."
"14","నువ్వు మూర్ఖుడివి కాదనుకుంటా.","I don't think you're stupid."
"14","చాలా తెలివైనవాడివి.","I think you're very smart."
"14","కానీ.","But."
"15","చూడు, నేనేం చెబుతున్నానో నీకు అర్థమవుతోంది అనుకుంటా.","Look, I think you get what I'm saying."
"16","ఇతనిని తన సీటు దగ్గరకి తీసుకువెళ్లు.","Take him back to his seat."
"17","దీన్ని ఓపెన్ చేయి.","Open it."
"18","వీళ్లని నువ్వు మళ్లీ చూడాలి అనుకుంటే, దీన్ని ఓపెన్ చేయి.","You wanna see them again, open it."
"22","ఆ విమానం ఎక్కకు. చాలా ఆలస్యం అయింది ఇది అంతేనా?","Is that it?"
"23","ఇదే సమయం.","This is it."
"23","నేను వెళ్తాను, నువ్వు అనుసరించు.","I go, and you follow."
"23","సరేనా?","Yeah?"
"24","వద్దు!","No!"
"25","అతడిని పట్టుకో, ఎడీ! ఊపిరి ఆడనివ్వకు!","Grab him, Eddie! Strangle him!"
"26","కిందికి!","Down!"
"27","ఆ తుపాకి! తుపాకిని తన్ను!","The gun! Kick the gun!"
"28","కూర్చోండి.","Sit down."
"28","వెంటనే కూర్చోండి.","Sit the fuck down."
"28","ముందుకు కూర్చో! కదలద్దు!","Face forward! Don't fucking move!"
"29","గన్! గన్ ఎక్కడ ఉంది?","The gun! Where's the gun?"
"30","నేను ముందే చెప్పినట్లు, నాకు ఇంటికి వెళ్లాలని ఉంది.","Like I said, I just wanna get home."
"31","నేను చెప్పబోతున్నాను, సరేనా?","I'm gonna say it, yeah?"
