"Index","Telugu Text","Mapped English Text"
"7","హలో? నా కొడుకుని ఏడిపించడానికి నీకు ఎంత ధైర్యం?","Hello? How dare you make my son cry."
"8","లక్ష్మి?","Laxmi?"
"9","నీ వల్ల అందరూ ఏడ్చారు.","You made everyone cry."
"10","అలాగే నువ్వు నీ అసిస్టెంట్ కి గుండెపోటు వచ్చేలా చేశావు.","And you gave your chaperone a heart attack."
"10","అసలు నీకేమైనా పిచ్చా?","What is wrong with you?"
"11","ముందుగా ఒకటి తెలుసుకో, నాకు అసిస్టెంట్ ఎవరూ లేరు, ఆమెను అలా పిలవడం ఆపు.","First of all, I don't have a chaperone, so stop calling her that."
"12","రెండు, జోసియకి ఏమీ కాదు, ఆమె గురించి అడిగినందుకు థాంక్స్.","Second of all, Zosia's gonna be fine, thank you for asking."
"13","అలాగే మూడు అసలు నువ్వు ఇలాంటి పనులు ఎందుకు చేస్తావు?","And third of all Why do you do such things?"
"14","నీకు బుర్ర దొబ్బిందా?","Are you mentally unsound?"
"15","అలాగే మూడు, నేను ఒక ముఖ్యమైన విషయం తెలుసుకున్నా.","Third of all I learned something important."
"16","లక్ష్మి, ఈ పరిస్థితి మొత్తాన్ని మళ్ళీ మామూలుగా చేయడానికి.","Laxmi, I think that there might be a way to fix."
"17","ఇంకెప్పుడూ నా కొడుకుని ఏడిపించకు.","You do not ever make my son cry again."
"18","హేయ్, ఇంకెప్పుడైనా ఈ పొగరుబోతు నా ఫోన్ నంబర్ అడిగితే నెత్తి నేలకి కొట్టుకోమని చెప్పండి.","Hey, if Miss Sunshine asks for my phone number again, you tell her to pound sand."
"19","ఈమెకు ఏమీ కాదు కదా?","She's gonna be all right, isn't she?"
"20","ఈమెకు ఏమీ కాదు.","She's gonna be fine."
"28","హలో?","Hello?"
"29","ఎవరైనా ఉన్నారా?","Anybody here?"
"31","హలో, కారోల్.","Hello, Carol."
"31","హేయ్.","Hey."
"32","అందరూ ఎక్కడికి ఇది ఒక రికార్డింగ్.",", where-where did everybody This is a recording."
"33","టోన్ విన్న వెంటనే, నీకు కావాల్సింది ఏంటో చెప్పి నీ సందేశాన్ని పంపించు.","At the tone, you can leave a message to request anything you might need."
"34","నీకు అది అందజేయడానికి తప్పక కృషి చేస్తాం.","We'll do our best to provide it."
"35","నీ పట్ల మా అభిప్రాయం ఏమీ మారలేదు, కారోల్.","Our feelings for you haven't changed, Carol."
"36","కానీ ఈ మధ్య జరిగిన విషయాల కారణంగా, మేము నీకు కొంచెం దూరంగా ఉండాలి అనుకున్నాం.","But after everything that's happened, we just need a little space."
"40","ఓరి నాయనో.",", come on."
"41","మీరు జోక్ చేస్తున్నారా?","Are you fucking kidding me?"
"42","సరే.","Fine."
"43","దరిద్రం వదిలింది!","Good riddance!"
"44","పోయి చావండి!","Fuck you!"
"49","బాధిత బాధిత ప్రజలు.","Afflicted Afflicted people."
"55","మామూలుగా ఉన్న నాతోటి 12 మందికి, నమస్కారం.","To my 12 fellow survivors, greetings."
"56","నేను కారోల్ స్టుర్క.","I'm Carol Sturka."
"57","మీలో కొందరికి నేను తెలుసు.","Some of you know me."
"57","కొందరిని నేను ఇంకా కలవలేదు.","Some of you I've yet to meet."
"58","కానీ.","But."
"59","మీరు ఇంకా మాలో ఒక్కరై ఉంటే.","if you're still one of us."
"60","ఈ సందేశం మీకే.","then this message is for you."
"61","ఈ పరిస్థితిని మామూలు చేయడానికి ఒక మార్గం ఉంది.","There is a way to undo this situation."
"62","ప్రపంచాన్ని మళ్ళీ ఇంతకు ముందులా మార్చడానికి.","To turn the world back the way it's supposed to be."
"63","ఇది నాకెలా తెలుసు అనుకుంటున్నారా?","How do I know this?"
