File_Path,Original_Index_1,Original_Index_2,New_Timestamp,Merged_Dialogue_Start
1 t.srt,5,6,"00:00:23,607 --> 00:00:28,195","వాడు జర్మన్ వెధవలకి కూతవేటు దూరంలో ఉంటాడు, కానీ మిగిలిన మనమంతా నెబ్రాస్కా మీదుగా యుద్ధవిమానాలు నడపడం"
1 t.srt,56,57,"00:02:34,488 --> 00:02:39,993","అతని సొంత ఊరు విస్కాన్సిన్ లో ఒక వ్యక్తిని నేను గుర్తు చేస్తున్నానని చెప్పాడు, అతని పేరు బక్ అని చెప"
1 t.srt,62,63,"00:02:54,091 --> 00:02:57,845","అది నాకు తెలిసేసరికి, మొత్తం ఎయిత్ ఎయిర్ ఫోర్స్ అంతా నన్ను బక్ అని పిలుస్తున్నారు. కాబట్టి..."
1 t.srt,66,67,"00:03:03,892 --> 00:03:09,606","- నీ పేరునే నాకు ఇచ్చినందుకా? - అది అచ్చు నా పేరు కాదు, ఇంకా నువ్వు అచ్చు బక్ మాదిరిగా ఉండటం నా తప్ప"
1 t.srt,88,89,"00:04:23,055 --> 00:04:29,228","చూడు, నేను కమాండింగ్ ఆఫీసర్ తో 389వ గ్రూప్ గురించి మాట్లాడాను, ఇంకా మీరంతా వచ్చేవరకూ నేను ఆ కుర్రాళ్"
1 t.srt,92,93,"00:04:34,733 --> 00:04:39,321","కానీ, ఎవరో ఒకరు యుద్ధవాతావరణాన్ని ప్రత్యక్షంగా చూడాలి, అక్కడ పరిస్థితి ఎలా ఉంది నీకు చెప్పాలి కదా."
1 t.srt,157,158,"00:10:57,574 --> 00:11:01,703","మాలో చాలామంది అసలు విమానంలో ప్రయాణించడం సంగతి అటు ఉంచితే, స్వదేశం దాటి ఇంతదూరం ఎప్పుడూ ప్రయాణం చేయలే"
1 t.srt,207,208,"00:14:01,383 --> 00:14:06,930","నా ప్రాణమిత్రుడు జో ""బబుల్స్"" పేయిన్ ఇంకా నేను నావిగేటర్లం, కాబట్టి మాకు లొకేషన్ అనేది చాలా ముఖ్యం."
1 t.srt,229,230,"00:15:24,258 --> 00:15:29,596","సార్జెంట్, ఏం జరిగిందో నాకు తెలియదు, కానీ జరిగిన నష్టాన్ని ఇది భర్తీ చేస్తుందని మాత్రం చెప్పాడు."
1 t.srt,235,236,"00:15:48,282 --> 00:15:52,077","సాధారణంగా, నేను గొడవలు చేసేవాడిని గుర్తించగలుగుతాను, కానీ నీ ఫ్రెండ్ మంచివాడిలా కనిపించాడు."
1 t.srt,274,275,"00:17:50,571 --> 00:17:56,368","అసలు ఏమీ కనిపించక చాలా కష్టం అయింది, కానీ నాకు మరొక సమస్య వచ్చింది: భరించలేని ఎయిర్ సిక్నెస్."
1 t.srt,395,396,"00:26:39,558 --> 00:26:44,897","ఇంకా తరువాత మా విమానంలో ఏదో విద్యుత్ సమస్య వచ్చింది, దానితో చక్రాన్ని కిందికి దించడానికి ప్రయత్నిస్త"
