File_Path,Original_Index_1,Original_Index_2,New_Timestamp,Merged_Dialogue_Start
1 tel.srt,3,4,"00:02:40,870 --> 00:02:47,043","- ఏ విలోమ విలువకి సమానం అంటే""... - కొసైన్, ఎక్స్ విలువ మీద ఆధారపడి ఉంటుంది, అది వై విలువకి సమానం."
1 tel.srt,38,39,"00:04:46,371 --> 00:04:52,085","- నువ్వు గెలిచినందుకు సంతోషంగా ఉంది. - ఓహ్, చెత్త. నేను వేరే ఫోన్ మాట్లాడాలి, కానీ నీతో మళ్లీ మాట్లా"
1 tel.srt,48,49,"00:05:45,347 --> 00:05:53,271","అలాగే ఆ బాక్స్ లో, ఒక విషపు సీసా కూడా ఉంది, ఒక సింగిల్ రేడియోధార్మిక అణువు ఇంకా..."
1 tel.srt,52,53,"00:06:00,654 --> 00:06:06,660","కానీ అణువు గనుక క్షీణిస్తే, అప్పుడు గైగర్ కౌంటర్ ఆ రేడియేషన్ ని గుర్తిస్తుంది."
1 tel.srt,54,55,"00:06:06,660 --> 00:06:12,374","దానితో విద్యుత్ తరంగాలు ఏర్పడి, ఆ విషపు సీసా పగిలిపోతుంది, అప్పుడు పాపం ఆ పిల్లి చనిపోతుంది."
1 tel.srt,60,61,"00:06:22,717 --> 00:06:30,892","మనం లోపల చూసే ముందు, ఈ అణువు సూపర్ పొజిషన్ లో ఉంది, దీనినే ఇంకా ఆకట్టుకునేలా చెప్పాలంటే"
1 tel.srt,67,68,"00:06:45,574 --> 00:06:50,662","అతని పేరు ష్రోడింగర్, ఇంకా ఈ విశ్వాన్ని అర్థం చేసుకోవడం అతనికి సరదా."
1 tel.srt,71,72,"00:07:22,277 --> 00:07:26,197","అతని పేరు వూడీ గ్వైన్, అమెరికాలో ప్రఖ్యాత ప్రకృతి దృశ్యాల చిత్రకారుల్లో ఒకడు."
1 tel.srt,75,76,"00:07:29,993 --> 00:07:36,541","ఆయిల్ తో చిత్రాలు గీయడం కన్నా దానితో గీయడం చాలా కష్టమైన పని. త్వరగా ఎండిపోతుంది, కాబట్టి బ్రష్ స్ట్ర"
1 tel.srt,86,87,"00:08:04,486 --> 00:08:09,699","నా సైక్లింగ్ టైమ్ ఇంకా రన్నింగ్ టైమ్ నిజానికి మరీ అంత ఘోరంగా లేవు, కానీ నా స్విమ్మింగ్ ని మాత్రం ఇంక"
1 tel.srt,106,107,"00:10:23,917 --> 00:10:30,549","- ఎవరది? - రేయన్, నువ్వు ఎక్కడ ఉన్నావని ఆరా తీస్తున్నాడా?"
1 tel.srt,113,114,"00:10:43,895 --> 00:10:49,401","అవును. అంటే, నా ఉద్దేశం, తనకి పది లక్షల డాలర్లు బహుమతిగా ఇస్తారు, దానివల్ల గ్రాంట్ డబ్బులు, పారితోషి"
1 tel.srt,124,125,"00:11:11,715 --> 00:11:16,928","ఎందుకంటే తను దూరంగా ఏదైనా ప్రదేశాన్ని ఎంపిక చేస్తే, నేను వెళ్లనని అతనికి తెలుసు."
1 tel.srt,167,168,"00:14:34,209 --> 00:14:38,547","నా ఉద్దేశం, అంటే, నేను మేధావిని అని నాకు తెలుసు, కానీ నా ఉద్దేశం, అంటే, ఆయన మాట్లాడుతుంటే, అది ఎలా ఉ"
1 tel.srt,180,181,"00:15:07,075 --> 00:15:12,581","""న్యూరోసైన్స్ రంగంలో విప్లవాత్మకమైన ప్రయోగాలు చేసినందుకు, స్మారక స్థితిని కలగడానికి కారణం ప్రీఫ్రెంట"
1 tel.srt,208,209,"00:16:39,834 --> 00:16:45,173","హేయ్, ప్రతి రోజూ నువ్వు లేక్మాంట్ కాలేజీకి ఉత్సాహంగా వెళ్తుంటే గనుక, నన్ను మాట్లాడద్దని చెప్పు, నేను"
1 tel.srt,243,244,"00:19:28,962 --> 00:19:33,049","నువ్వు తప్పించుకోవాలని ప్రయత్నిస్తే, నేను చెప్పినట్లు నువ్వు చేయకపోతే,"
1 tel.srt,321,322,"00:30:09,853 --> 00:30:14,232","నా పేరు అమాండా లూకస్, ల్యాబ్ సైకియాట్రిస్ట్ ని, నాతో పాటు ఉన్నవారు లైటన్ వాన్స్, మా సిఇఓ,"
1 tel.srt,332,333,"00:30:53,688 --> 00:30:58,902","విను, నువ్వు అలసిపోయి ఉన్నావని నాకు తెలుసు, కానీ నువ్వు ఎక్కడికి వెళ్లావో మాకు కాస్త చెబుతావేమో అని "
