"Index","Telugu Text","Mapped English Text"
"5","హేయ్. హేయ్.","Hey. Hey."
"7","అది ఏంటి?","What's that?"
"8","డిన్నర్. ఈ రాత్రి వంట నేనే వండాలి అనుకున్నా.","Dinner. I thought I'd cook tonight."
"9","మీరిద్దరూ నా మీద ఇంకా ఎంత కాలం కోపంతో ఉంటారు?","How long are you guys gonna stay mad at me for?"
"11","నేను వెళ్లి చూస్తాను.","I'll get it."
"12","హాయ్, నేను డిటెక్టివ్ మేసన్ ని.","Hi, I'm Detective Mason."
"13","మీ తల్లిదండ్రులు ఇంట్లో ఉన్నారా?","Your parents home?"
"14","థాంక్యూ.","Thank you."
"15","నేను ఇక్కడికి ఎందుకు వచ్చానో తెలుసా?","Do you know why I'm here?"
"16","లేదు. నాకు తెలియదు. లేదు.","No. I don't. No."
"17","మీ ఇద్దరికీ రేయన్ హోల్డర్ తెలుసు కదా.","You both know Ryan Holder."
"18","కాలేజీ రోజుల నుండి తెలుసు. చాలా కాలంగా.","Since college. Forever."
"19","సరే, రెండు రోజుల కిందట, అతని గర్ల్ ఫ్రెండ్, మిండీ స్టీవర్ట్ అతను కనిపించడం లేదని ఫిర్యాదు చేసింది.","Well, two days ago, his girlfriend, Mindy Stewart, reported him missing."
"20","అతను కనిపించడం లేదా?","Missing?"
"21","గత పన్నెండు గంటలుగా అతని నుంచి ఏ సమాచారం లేదట. సాధారణంగా అలా జరగదని ఆమె అంటోంది. అయితే అతను వాళ్లు ప్లాన్ చేసుకున్న డిన్నర్ డేట్ ని మిస్ అయి ఉంటాడు.","She hadn't heard from him in 12 hours. She said that wasn't usual. Then he, , missed a dinner date they had planned."
"23","మీరిద్దరూ చివరిసారి మిస్టర్ హోల్డర్ ని ఎప్పుడు చూశారు?","When was the last time either of you saw Mr. Holder?"
"25","అవును, తనని నేను చూశాను ఐదు రోజుల కిందట.","Yeah, I saw him It was five days ago."
"26","ఎక్కడ చూశారు? అతని అపార్ట్మెంట్ లో చూశాను.","Where did you see him? I saw him at his apartment."
"27","అతను ఎలా ఉన్నాడు? అతను పూర్తిగా ఆరోగ్యంగా కనిపించాడు.","How'd he seem? He seemed totally fine."
"28","అసాధారణంగా ఏమీ అనిపించలేదా? లేదు, నేను ఏదీ నేను అలాంటిది ఏదీ గమించలేదు.","Nothing out of the ordinary? No, I didn't I didn't notice anything."
"29","మరి మీరు? మీరు చివరిసారి మిస్టర్ హోల్డర్ ని ఎప్పుడు చూశారు? అవును, నేను నేను మూడు రోజుల కిందట చూశాను. ఎక్కడ? విలేజ్ ట్యాప్ దగ్గర. అది ఒక బార్. అవును, మీ ఇద్దరూ కలిసిన దృశ్యాల సిసిటీవీ ఫుటేజ్ నిజానికి మా దగ్గర ఉంది. ఓహ్, సరే మిస్టర్ హోల్డర్ ని చివరిసారి ఎవరైనా చూసిందీ, ఆయనతో మాట్లాడిందీ ఆ ప్రదేశంలోనే అనుకుంటా.","And you? When was the last time you saw Mr. Holder? Yeah, I I saw him three days ago. Where? At the Village Tap. It's a bar. Yeah, we actually have CCTV footage of the two of you there. , well It appears to be the last place that anyone saw or heard from Mr. Holder."
"30","ఆ రాత్రి అతను ఎలా కనిపించాడు? అంటే, నిజం చెప్పాలంటే.","How'd he seem that night? Well, to be honest."
"31","అంత మంచిగా లేడు. అలా ఎందుకు అంటున్నారు? ముఖ్యమైన విషయం. అతను ఆ సాయంత్రం చాలా మద్యం తాగాడని నేను గమనించాను. అంత గమనించ తగ్గదా?","not great. What makes you say that? The main thing, I noticed he was drinking a lot that evening. Is that notable?"
"32","అవును. అతను హై స్కూల్ లో చదివే రోజుల నుంచి చాలా హుందాగా ఉండేవాడు. అతను తాగడం నేనెప్పుడూ చూడలేదు.","Yeah. He's been sober since high school. Never seen him drink."
"33","బార్ లో కలిసిన తరువాత మీరిద్దరూ ఎక్కడికి వెళ్లారు? నేను ఇంటికి వచ్చేశాను, ఇంకా.","Where'd you two go after the bar? I came home, and."
"34","దేవుడా, అతను ఎక్కడికి వెళ్లాడో నాకు తెలియదు.","God, I don't know where he went."
"35","సరే, చాలా థాంక్స్.","Well, thank you very much."
"36","మీకు ఇంకా ఏదైనా గుర్తొస్తే, నా ఫోన్ నెంబరు దాని వెనుకే ఉంది.","If you think of anything else, my cell's on the back."
"37","థాంక్యూ. నేను ఇంక వెళతాను.","Thank you. I'll see myself out."
"40","నువ్వు పైన గదికి వస్తావా?","Will you come upstairs?"
"41","దీని కోసమే నేను రేయన్ దగ్గరకి వెళ్లాను.","This is why I went to Ryan."
"42","ఇది నీకు ఎక్కడ దొరికింది? స్టోరేజ్ ప్రదేశానికి నేను నిన్ను అనుసరించాను.","Where did you find this? I followed you to the storage unit."
"43","ఇది ఏమిటో చెప్పమని అడగడానికి నేను దీనిని రేయన్ దగ్గరకి తీసుకువెళ్లాను.","And I took one to Ryan to see if he could tell me what it was."
"44","ఇది నువ్వు అనుకునేది కాదు.","It's not what you think."
"46","ఇది ఒక ప్రయోగాత్మక మిశ్రమం, ఇంకా మెదడు ముందు భాగంలోని పొరలో కొన్ని భాగాలను ఇది మూసివేయడం కోసం రూపొందించినది. ఏ ప్రయోజనం కోసం? దీని ద్వారా సూపర్ పొజిషన్ లో ఉండే మ్యాక్రోస్కోపిక్ పదార్థాలను నేను పరిశీలించడం కోసం.","This is an experimental compound designed to shut down certain regions in the prefrontal cortex. For what purpose? So that I can observe macroscopic objects while they're in superposition."
"47","రేయన్ దీనిని నా కోసం తయారు చేశాడు.","Ryan built it for me."
"48","ఈ విషయం నాకు ఎందుకు చెప్పలేదు? అతను గోప్యత ఒప్పందంలో ఉన్నాడు. మరి, నువ్వు దీని గురించి నన్ను ఎందుకు నిలదీయలేదు?","Why didn't he tell me? He's under an NDA. Now, why didn't you confront me with it?"
"49","ఎందుకంటే మన ఇద్దరం అపరిచితులం అయ్యాము అనిపించింది, అలా ఉండడం నాకు నచ్చలేదు.","'Cause I feel like we've become strangers, and I hate it."
"50","నేను భయపడ్డాను.","And I'm scared."
"51","నువ్వు దీన్ని వాడుతున్నావా?","Are you using it?"
"52","నాకు అబద్ధం చెప్పకు.","Don't lie to me."
"53","అవును.","Yes."
"54","అది నీ మీద ప్రభావం చూపిస్తోందా?","Is it affecting you?"
"55","అంటే, దీని సైడ్ ఎఫెక్ట్స్ చాలా తీవ్రంగా ఉంటాయి.","Well, the side effects are pretty intense."
"56","నువ్వు దీన్ని వాడటం ఆపేయాలి.","I want you to stop."
"57","సరే. ఆపగలవా? ఆపగలను.","Okay. Can you stop? Yes."
"58","నేను ఆపగలను.","I will."
"59","ఇంకా ఆ స్టోరేజ్ యూనిట్ లో ఏం ఉంది?","And what's in the storage unit?"
