"Index","Telugu Text","Mapped English Text"
"1","ఇక్కడా?","Like, right here?"
"2","కాదు. జరుపు, జరుపు. పార్టీ గురించి మీరు ఎప్పుడూ తెలుసుకోవాలని అనుకున్నది కానీ అడగడానికి భయపడింది.",", no. Move, move. Everything you always wanted to know about the party but were afraid to ask."
"3","ప్రశ్న: ఐక్, మీరు నాకు ఎప్పుడూ ఉత్తరాలు రాయరు. ఇప్పుడెందుకు రాస్తున్నారు?","Question: Ike, you never write. Why are you writing to me?"
"4","సమాధానం: రోజు గుర్తుపెట్టుకోమని చెప్పడానికి.","Answer: To save the date."
"5","ప్రశ్న: ఏ రోజు? సమాధానం: శనివారం, జులై 6, 1991.","Question: What date? Answer: Saturday, July 6, 1991."
"7","ప్రశ్న: నేను ఎందుకు గుర్తుపెట్టుకోవాలి? సమాధానం: ఒక వేసవి పార్టీ. ప్రశ్న: నేను ఎలాంటి దుస్తులు వేసుకోవాలి? జంగల్ జూస్ సమాధానం: పార్టీని సఫారీ థీమ్ లో చేయబోతున్నాం, అందుకని దానికి అనుగుణంగా అధ్భుతమైన జంతువుగా డ్రెస్ వేసుకోండి.","Question: What am I saving it for? Answer: A summer party. Question: What should I wear? Answer: The party is safari themed, so dress like the wild exotic animal that you are."
"8","ప్రశ్న: కానీ నేను అక్కడికి ఎలా వస్తాను?","Question: But how will I get there?"
"9","సమాధానం: 40వ మరియు 80వ అవెన్యూకి ఆగ్నేయంగా ఉన్న జంక్షన్ కి రండి.","Answer: Meet on the southwest corner of 40th and 8th Avenue."
"10","ఇంటికి ఎలా వెళ్ళాలి అన్న దాని గురించి కంగారు పడకండి. మీరు తిరిగి అదే చోట రాత్రి పదింటికి దింపబడతారు, బాగా అలసిపోయి, మత్తులో మాత్రం ఉంటారు.","Don't worry about the ride home. You'll be dropped off at the very same spot at 10:00 p.m., tanned, tired and tipsy."
"11","ఐక్ పార్టీకి వెళ్ళే బస్ ఇదేనా? అవును.","This is the bus to Ike's party? It sure is."
"12","సరే. ఆ","Okay, yeah."
"13","ప్రశ్న: మనం ఆ పార్టీలో ఏం చేస్తాము?","Question: What are we gonna do at the party?"
"14","సమాధానం: మనం ఏం చెయ్యము? మీరు ఈత కొట్టచ్చు, కోడి పందాలు, పింగ్-పాంగ్, తోటలో డార్ట్ లు, క్రోకేట్, లింబో ఇంకా చాలా ఉన్నాయి.","Answer: What aren't we going to do? There'll be swimming, chicken fights, Ping-Pong, lawn darts, croquet, limbo and so much more."
"15","మిమ్మల్ని త్వరలో కలుస్తాను.","See you soon."
"20","మార్టీ, తోటలో కుర్చీల పక్క నుంచి వస్తున్న ఆ పిచ్చి కంపు ఏంటి? ఆ వాసన అలానే ఉంటుంది. సెప్టిక్ ట్యాంక్ నిండిపోయిందనుకుంటాను.","Marty, what is that odor that smells like shit by the lounge chairs? Well, i-it is what it smells like. I think the septic tank is backed up."
"21","నువ్వు దాని గురించి ఏమైనా చెయ్యవా, ప్లేజ్?","Can you do something about it, please?"
"22","ఇది ఒక సఫారి పార్టీ అని నాకు తెలుసు, కానీ అది ఏనుగు పెంట వాసన రావడం బాగోదు కదా.","I know it's a safari party, but I don't want it to smell like elephant dung."
"23","సరే. అంత తొందరగా కాదు.","Okay. Whoa, whoa, whoa. Not so fast."
"24","నిజంగా, బానీ? అలాంటి డ్రెస్సా? వాళ్ళు పిల్లలు. ఇది కంబోడియా కాదు.","Seriously, Bonnie? Two-pieces? They're children. This isn't Cambodia."
"25","దయచేసి వాళ్ళ బట్టలు మారుస్తావా? రండి అమ్మాయిలు. పదండి.","Can you go change, please? Come on, girls. Come on."
"26","ఆగు. ఆగు.","Hold on. Wait."
"27","నువ్వు ఏం వేసుకున్నావు?","Is that what you're wearing?"
"28","ఆ. మరీ ఎక్కువైందా?","Yeah. Is it too much?"
"29","బానే ఉంది. బానే ఉంది. వాళ్ళ డ్రెస్సులు మార్చు.","It's fine. It's fine. Just put them in dresses."
"30","సరే. సరే.","Okay. Okay."
"31","డాక్టర్ ఐక్, అంతా బానే ఉందా?","Dr. Ike, everything okay?"
"32","ఆ, అది.","Yeah, I'm just."
"33","ఈ పార్టీ స్టీఫెన్ బాల్డ్విన్ పార్టీ అంత సరదాగా లేకపోతే?","What if this party isn't as fun as Stephen Baldwin's?"
