Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
1e.srt,3,4,"00:00:09,134 --> 00:00:11,154","00:00:11,178 --> 00:00:15,682",3,"00:00:09,134 --> 00:00:15,682",for Lusit Airways flight LLT154 to Marrakech.,[announcer on PA] This is the pre-boarding announcement for Lusit Airways flight LLT154 to Marrakech.
1e.srt,5,6,"00:00:15,766 --> 00:00:18,310","00:00:18,393 --> 00:00:19,603",4,"00:00:15,766 --> 00:00:19,603",Come on. Where are you?,We are now inviting those classified as small children… Come on. Where are you?
1e.srt,27,28,"00:01:37,890 --> 00:01:40,392","00:01:40,475 --> 00:01:43,437",25,"00:01:37,890 --> 00:01:43,437",for flight LLT154 to Marrakech.,[announcer] Lusit Airways are pleased to announce boarding for flight LLT154 to Marrakech.
1e.srt,29,30,"00:01:43,520 --> 00:01:46,690","00:01:46,773 --> 00:01:48,525",26,"00:01:43,520 --> 00:01:48,525","- to come forward first. - Move, move, move.","We would like to invite families and those requiring assistance - to come forward first. - Move, move, move."
1e.srt,32,33,"00:01:52,905 --> 00:01:54,740","00:01:54,823 --> 00:01:57,051",28,"00:01:52,905 --> 00:01:57,051",but something has definitely gone in or out of that backpack.,"Okay, have full visual on target again, but something has definitely gone in or out of that backpack."
1e.srt,50,51,"00:02:49,920 --> 00:02:52,548","00:02:54,842 --> 00:02:56,969",45,"00:02:49,920 --> 00:02:56,969",- Out of the way! - Move!,"- Move! - [all clamoring, shouting] - Out of the way! - Move!"
1e.srt,68,69,"00:03:37,885 --> 00:03:39,428","00:03:39,511 --> 00:03:41,656",62,"00:03:37,885 --> 00:03:41,656","or we have the wrong intel, and we don't have the wrong intel.","- Ma'am? - He has the wrong suspect, or we have the wrong intel, and we don't have the wrong intel."
1e.srt,91,92,"00:04:41,615 --> 00:04:44,117","00:04:44,201 --> 00:04:45,911",84,"00:04:41,615 --> 00:04:45,911",get SO15 on the ground now.,"[Second Desk] Jesus Christ! If you can't get your guys there, get SO15 on the ground now."
1e.srt,113,114,"00:06:00,319 --> 00:06:03,071","00:06:04,656 --> 00:06:05,782",105,"00:06:00,319 --> 00:06:05,782",Sorry.,"- Move, move, move, move! - [people screaming, shouting] Sorry."
1e.srt,127,128,"00:06:42,236 --> 00:06:43,880","00:06:43,904 --> 00:06:45,989",118,"00:06:42,236 --> 00:06:45,989",- …this exit. This exit. - Work out the safe areas.,[Duffy] Evacuate the terminal all the way… - …this exit. This exit. - Work out the safe areas.
1e.srt,137,138,"00:07:23,151 --> 00:07:25,195","00:07:26,905 --> 00:07:28,699",127,"00:07:23,151 --> 00:07:28,699",He's headed for the Stansted Express.,- Move! Out of the way! Now! - [grunts] He's headed for the Stansted Express.
1e.srt,139,140,"00:07:31,285 --> 00:07:32,744","00:07:35,205 --> 00:07:37,040",128,"00:07:31,285 --> 00:07:37,040",Move! Get to the side.,- Get out of the way! - [screams] Move! Get to the side.
1e.srt,189,190,"00:14:16,231 --> 00:14:18,775","00:14:18,859 --> 00:14:22,529",177,"00:14:16,231 --> 00:14:22,529","addresses, council tax records. Cross-check.","Bradford driving license applications, addresses, council tax records. Cross-check."
1e.srt,195,196,"00:14:31,788 --> 00:14:34,374","00:14:34,458 --> 00:14:36,378",182,"00:14:31,788 --> 00:14:36,378",probably doesn't have that much money to launder.,Really? Someone looking that up in the library probably doesn't have that much money to launder.
1e.srt,201,202,"00:14:45,552 --> 00:14:48,555","00:14:48,639 --> 00:14:51,683",187,"00:14:45,552 --> 00:14:51,683",are giving my idea of a pub quiz team a big thumbs down.,"Catherine, before you go, these two stick-in-the-muds are giving my idea of a pub quiz team a big thumbs down."
1e.srt,216,217,"00:15:31,098 --> 00:15:32,683","00:15:32,766 --> 00:15:35,853",201,"00:15:31,098 --> 00:15:35,853",and treat the remaining nine hours of the day as my own time.,"Well, I'll set up an algorithm for that and treat the remaining nine hours of the day as my own time."
1e.srt,218,219,"00:15:36,979 --> 00:15:39,523","00:15:39,606 --> 00:15:42,401",202,"00:15:36,979 --> 00:15:42,401",if you can stop scaring people away from that bus stop.,Jed? Transport police are asking if you can stop scaring people away from that bus stop.
1e.srt,221,222,"00:15:47,322 --> 00:15:49,575","00:15:49,658 --> 00:15:51,451",204,"00:15:47,322 --> 00:15:51,451","- at the Chinese down... - Oh, fuck me!","Also, Lamb says there's a new hire - at the Chinese down... - Oh, fuck me!"
1e.srt,228,229,"00:16:02,671 --> 00:16:04,298","00:16:04,381 --> 00:16:09,428",210,"00:16:02,671 --> 00:16:09,428","but I need you to guarantee me 2,000 words once it breaks.","I'm just waiting for a fin to surface, but I need you to guarantee me 2,000 words once it breaks."
1e.srt,233,234,"00:16:23,775 --> 00:16:27,279","00:16:27,362 --> 00:16:31,533",214,"00:16:23,775 --> 00:16:31,533",is because I spent a year studying in Greece and the name caught my ear.,"Sorry, um, the reason I interrupted before is because I spent a year studying in Greece and the name caught my ear."
