"Index","Telugu Text","Mapped English Text"
"1","బేబీ, నువ్వు వ్యాపార భాగస్వామివి అయ్యావు.","Baby, you made partner."
"2","మనం రిట్రీట్ వేడుకలో పాల్గొంటే తప్ప భాగస్వామి అయ్యామన్న ఫీలింగ్ ఉండదని కొందరు అంటారు.","They say you don't feel like a partner until you've been to the retreat."
"2","ఇంతకుముందు అది వినలేదు.","I've never heard that before."
"3","అయితే, అది నేనే కల్పించా, ఇప్పుడు వ్యాపార భాగస్వామిని కాబట్టి ఆ పని చేయగలను.","Well, I just made it up, but I can do that now because I'm a partner."
"4","నీ నుంచి వెలువడుతున్న పవర్ చూస్తుంటే నాలో శృంగారభావన కలుగుతోంది.","The power emanating from you is really turning me on."
"5","అవును, నాలో కూడా ఆ భావన కలుగుతోంది.","Yeah, it's turning me on too."
"5","అవును.","Yeah."
"6","హేయ్, నా ఐడి కార్డు పట్టీ ఇస్తావా?","Hey, , why don't you get my lanyard?"
"6","నీ పట్టీ.","Ooh, your lanyard."
"7","థాంక్యూ.","Thank you."
"8","ఇదిగో వేసుకో.","Ooh, there it is."
"8","వావ్.","Wow."
"9","ఇది చూడు. నీకు క్యూ.ఆర్. కోడ్ ఉంది.","Look at that. You got a QR code."
"10","పూర్తి షెడ్యూల్ కోసం నేను ఆ క్యూ.ఆర్.","I gotta scan that QR code for the full schedule."
"10","కోడ్ ని స్కాన్ చేయాలి.",", yeah."
"10","నేను నిన్ను ప్రేమగా స్కాన్ చేస్తాను.","I'm gonna scan your ass."
"10","వావ్.",", wow."
"12","నువ్వు ఎప్పుడూ కలగన్నది ఇదేనా?","Is this everything you ever dreamed of?"
"13","అవును, ఇంత కన్నా తక్కువే, అది నిజం కావాలని ఊహించుకున్నాను.","Yes, but even blander, if that's possible."
"14","సిల్వియా.","Sylvia."
"14","ఓహ్, దేవుడా.",", my God."
"14","హాయ్.",", hi."
"14","హేయ్, స్టివర్ట్, నిన్ను కలవడం సంతోషంగా ఉంది.","Hey, Stewart, nice to see you."
"15","నువ్వు రావడం సంతోషం.","I'm so glad you're here."
"15","ఇప్పుడు ఈ వేడుక అంత బోర్ కొట్టదు.","It's gonna be so much less boring."
"15","అది నీ అభిమానం.","Aw, you're so sweet."
"16","కానీ, వసతితో పాటు సెలవుని ఇచ్చినందుకు, ఈ భాగస్వాముల వేడుకలో మొదటి వరుస సీటు ఇచ్చినందుకు మాకు చాలా ఆనందంగా ఉంది.","Well, we're very excited for our staycation, and me for my front-row seat of the partners' orgy."
"17","ఈ వేడుక ఒక రహస్యంగా ఉండాలి.","The orgy is supposed to be a secret."
"17","అది నా పొరపాటే.","My bad."
"17","చీజ్ వంటకాలు, హలో.","Cheese platter, hello."
"18","ఆ ఫ్లోరెసెంట్ ఆకుపచ్చ క్యూబ్స్ ని సిఫార్సు చేయవచ్చా?","May I recommend the florescent green cubes?"
"19","వాటి రుచి అమోఘంగా ఉంటుంది.","They taste like nothing."
"20","ఫ్రాంక్ షేఫర్, అతని ఉపన్యాసాలు అనంతం. ప్రధాన వక్త ఫ్రాంక్ షేఫర్.","Frank Schaeffer, his speeches are endless."
"21","మనల్ని బందీలుగా చేసి తన గోల్ఫ్ విజయగాథల్ని వినిపించడం కోసమో అతను ఈ సంస్థని స్థాపించాడని నాకు అనిపిస్తుంది.","I think he founded the firm so he can hold us all hostage with his golf stories."
"22","దేవుడా.",", my God."
"22","ఈ మనిషి.","That guy."
"22","ఇతనిని ఓ డజను సార్లు కలిశాను.","I've met him a dozen times."
"23","అతను నా పేరుని గుర్తుంచుకోడు.","He never remembers my name."
"23","ఒక్కసారి కూడా.","Not once."
"24","ఎవరి పేరునీ అతను గుర్తుంచుకోడు.","Never remembers anybody's name."
"25","సక్సెస్ అయిన వాళ్లకి అదొక వరం.","It's one of the perks of being successful."
"26","నేను ఎవరి పేర్లనీ గుర్తుంచుకోలేనంత సక్సెస్ సాధించాలని తహతహలాడుతున్నాను.","I cannot wait to be successful enough that I don't have to remember the names."
"27","హేయ్, హేయ్, హేయ్.","Hey, hey, hey."
"27","ఈ షోకి స్వాగతం, కొత్త భాగస్వామి.","Welcome to the show, newbie."
"28","హేయ్.","Hey."
"28","అవును.","Yeah."
"28","హేయ్, కొత్త భాగస్వామి.","Hey, newbie."
"29","అభినందనలు, భాగస్వామి.","Congratulations, partner."
"29","అది కౌబాయ్ యాస.","That was a cowboy accent."
"29","ఆ యాసని చాలా బాగా అన్నారు.",", and a fine one at that."
"29","సిల్వియా, మీది ఆస్ట్రేలియా కదా.","Sylvia, you're from Australia."
"30","కౌబాయ్ ల గురించి నీకు ఏం తెలుసు?","What do you know about cowboys?"
"31","హేయ్, డ్యూపాంట్ నుండి మిల్టన్ ని తప్పించడం గురించి మీరు విన్నారా?",", hey, did you guys hear that Milton got taken off Dupont?"
"32","ఏంటి?","What?"
"33","ఆగండి, స్వారెజ్ తో చేసే లావాదేవీలన్నీ మిల్టన్ చూసేవాడు కదా.","Wait, Milton was running point on everything to do with Suarez."
"33","ఒకప్పుడు చూసేవాడు.",", he was."
"33","ఇంక చూడటం లేదు.","Not anymore."
"34","సారీ, మనం ఈ విషయాన్ని మొదట నుంచి మాట్లాడుకోవాలి.","Sorry, we're gonna have to take this from the top."
"35","ఇంఛార్జ్ ఎవరు?","Who's in charge?"
"35","డ్యూపాంట్ లో నేను చాలా కాలం పని చేశాను.","I've done wh A ton of work on Dupont."
"36","సరే, మొదటగా, అతను స్వచ్ఛందంగా తప్పుకున్నాడు.","Okay, it was a mandatory withdrawal, first of all."
"37","ఆ తరువాత విచారణ మొదలైంది అవును.","But then trail Yes."
"37","స్వచ్ఛందంగా తప్పుకున్నాడా?","Mandatory withdrawal?"
"38","హాయ్, నా పేరు మార్జొరీ, ఆల్బర్ట్ భార్యని.","Hi, I'm Marjorie, Albert's wife."
"38","హాయ్.",", hi."
"39","నా పేరు గ్రెగ్, డాన్ భర్తని.","Greg, Dan's husband."
"39","మిమ్మల్ని కలవడం సంతోషం.",", nice to meet you."
"39","సంతోషం.","Nice to meet you."
"40","నేను సిల్వియా.","Sylvia."
"40","చార్లీ భార్యని.","I'm Charlie's wife."
"44","అది ఒక ఘోరమైన ఘటన.","It's a disaster."
"45","ఆ సంఘటన విచారణలో ఉంది.","It's the event trial right now."
"45","రిలాక్స్.","Relax."
"46","జెంటిల్మెన్, సరదాగా గడుపుతున్నారు.","Gentlemen, playing through."
"46","హేయ్, ఫ్రాంక్.",", hey, Frank."
"46","నీ స్పీచ్ ఎలా వచ్చింది?","How's the speech coming?"
"47","అది ఎలా వచ్చింది?","how's it coming?"
"47","నిదానంగా ఉంది.",", slow."
"48","అది ముగించడం కోసం మనం ఈ మధ్యాహ్నం కార్యక్రమాలన్నీ ఎగగొట్టాలి అనుకుంటా.","We're gonna have to skip all the afternoon sessions to finish the damn thing."
"48","ఎవరు పట్టించుకుంటారు?","But who cares?"
"49","కొంతమంది లాయర్లు బార్ లోకి వెళ్లడానికి ఎదురు చూస్తుంటారు.","It's a bunch of lawyers just waiting to get to the bar."
"49","నేను చెప్పింది నిజమే కదా?","Am I right?"
"49","సారీ.",", I'm sorry."
"49","మరేం ఫర్వాలేదు.",", it's okay."
"49","ఏదో మంచికే అయింది.","It's probably for the best."
"50","ఫ్రాంక్ షేఫర్.","Frank Schaeffer."
"51","సిల్వియా గ్రీవ్స్.","Sylvia Grieves."
"51","అవును.","Yeah."
"51","మనం గతంలో కొన్నిసార్లు కలిశాం.","We've actually met before a few times."
"52","మన్నించాలి.",", forgive me."
"52","నేను పేర్లని గుర్తుంచుకోవడంలో ఘోరంగా ఉంటాను.","I'm terrible with names."
"53","లేదు, నేను మీకు అనవసరంగా ఇబ్బంది కలిగిస్తున్నాను.","No, I'm just giving you a hard time."
"53","ఊరికే అంటున్నాను.","Just kidding."
"53","మిమ్మల్ని కలవడం సంతోషం.","Nice to see you."
"54","ప్రొసెకో?","Prosecco?"
"54","అవును.","Yes."
"55","ఒక నిమిషం ఆగు.","Wait a minute."
"55","నువ్వు మెజ్జలూనాలో పని చేసేవాడివా?","Did you use to work at Mezzaluna?"
"56","మూడు సంవత్సరాల కిందట.","Three years ago."
"57","ఆగు.","Wait."
"57","ఒహాయో నుంచి వచ్చిన కెనెత్ కదా.","Kenneth from Ohio."
"58","అవును.","Yes."
"58","ఓహ్, దేవుడా.",", my God."
"58","నేను సరిగ్గా చెప్పానా?","Am I right?"
"58","సరిగ్గా చెప్పానా?","Am I right?"
"59","ఇది ఒక వరం.","It's a gift."
"59","సరే, ఇంక తాగుదాం.","All right, let's drink."
