File_Path,Original_Index_1,Original_Index_2,New_Timestamp,Merged_Dialogue_Start
10t.srt,26,27,"00:03:54,443 --> 00:04:00,991","ఒకప్పుడు తనలో నాకు కియర్ కనిపించేవాడు, కానీ తను పెరిగి పెద్దయ్యేటప్పుడు కనిపించడం మానేశాడు."
10t.srt,39,40,"00:05:03,428 --> 00:05:10,768","అయితే, నేను కోల్డ్ హార్బర్ ని పూర్తి చేసినప్పుడు, వాళ్లొక పరీక్ష జరిపి, తనని చంపేస్తారా?"
10t.srt,41,42,"00:05:10,769 --> 00:05:18,317","ఆ ఫైల్ అయ్యాక, నువ్వు వీలైనంత త్వరగా ఆ చీకటి హాల్ వేకి చేరుకొని, టెస్టింగ్ ఫ్లోర్ కి వెళ్ళిపోవాలి."
10t.srt,54,55,"00:05:57,733 --> 00:06:02,696","కానీ తను బతికే ఉందని మనం నిరూపించగలిగితే, వాళ్ళు తనని కిడ్నాప్ చేశారని మనం నిరూపించగలిగితే,"
10t.srt,80,81,"00:08:38,644 --> 00:08:45,526","కానీ అన్నింటికన్నా ముందు, నీకు సారీ చెప్పాలి."
10t.srt,83,84,"00:08:53,450 --> 00:08:59,330","నువ్వు ఆనందంగా ఉంటావని, పని అవతారాలకి ఏ లోటూ ఉండదని లూమన్ నాకు చెప్పింది, వాళ్ళ మాట నేను నమ్మిన పాపా"
10t.srt,88,89,"00:09:14,388 --> 00:09:22,104","మనకి చాలా విషయాలు కామన్ గా ఉన్నాయి కాబట్టి, ఆ అవకాశం నువ్వు నాకు ఇస్తావని ఆశిస్తున్నా."
10t.srt,98,99,"00:11:15,884 --> 00:11:21,682","ఒక సంపూర్ణ జీవితం జీవించడానికి, అందుకే నువ్వు అడిగేది నాకు భయం కలిగిస్తోంది."
10t.srt,101,102,"00:11:28,021 --> 00:11:33,402","మాకు ఉండే ఏకైక జీవితం ఇదే, దాన్ని అంతం చేసుకోవాలని మాకు లేదు."
10t.srt,113,114,"00:12:40,385 --> 00:12:48,852","మీ అందరి విషయంలో చాలా అన్యాయం జరుగుతోందని నాకనిపించింది, అందుకే ఇది ప్రారంభించా, నా భార్య బయటకి వచ్చ"
10t.srt,124,125,"00:13:29,476 --> 00:13:36,650","అంటే, మనిద్దరి జ్ఞాపకాలు, మనిద్దరి క్షోభ, అవే కాకుండా, మనిద్దరికీ జరిగిన మంచివి కూడా."
10t.srt,127,128,"00:13:42,781 --> 00:13:51,455","నువ్వు నాకన్నా 20 రెట్లు ఎక్కువ కాలం జీవించావు, కాబట్టి మనిద్దరి కలయికతో ఏర్పడే ఈ వ్యక్తిలో"
10t.srt,143,144,"00:15:44,069 --> 00:15:49,116","కాబట్టి, ఇప్పుడు నువ్వు అర్థం చేసుకోగలవు అనుకుంటా, నువ్వు, హెలెనీ కలిసి గడిపిన"
10t.srt,145,146,"00:15:49,825 --> 00:15:57,832","మధుర క్షణాలు, మీ మధ్య గొడవలు, ప్రేమ, అవి మా మధ్య చాలా జరిగి ఉంటాయి, ఎందుకంటే మీ కన్నా మేము చాలా రోజు"
10t.srt,150,151,"00:16:31,116 --> 00:16:36,954","నేను ఆమెనే ప్రేమిస్తున్నాను, నా జీవితం గురించి తెలుసుకోవాలని ఉండుంటే, అది నీకు తెలిసి ఉండేది."
10t.srt,153,154,"00:16:41,335 --> 00:16:50,761","నువ్వు చెప్పినట్టు నేను చేస్తే, తనని నేను కోల్పోవలసి వస్తుంది, ఎందుకంటే, తన పనియేతర అవతారం రీఇంటిగ్ర"
10t.srt,160,161,"00:17:09,820 --> 00:17:16,369","నేను తనని వదిలేయలేను, నువ్వు నాకు సహకరిస్తే, నిన్ను కూడా వదిలేయను. ప్రమాణపూర్తిగా చెప్తున్నా."
