"Index","Telugu Text","Mapped English Text"
"2","ఏది, నీ ముఖాన్ని ఒకసారి చూడనివ్వు.","Here, let me see that face."
"3","విచారణ తరువాత నువ్వు హాస్పిటల్ కి రిపోర్ట్ చేయాలి.","You ought to report to the hospital after interrogation."
"3","అర్థమైందా?","You got it?"
"5","నీకు ఇది కావాలా?","You want this?"
"6","వద్దు.","No."
"6","థాంక్యూ, డాక్టర్.","Thank you, Doc."
"7","థాంక్యూ.","Thank you."
"8","కొద్దిగా కాఫీ తాగుతావా, మేజర్?","Some coffee, Major?"
"8","జాన్?","John?"
"8","కాఫీ తీసుకో.","Some coffee."
"9","మిస్ టాటీ.","[Bucky] Ms. Tatty."
"10","అది ఇలా ఇవ్వు.","Give me that."
"10","థాంక్యూ.","Thank you."
"11","సంతోషం.","You're welcome."
"12","విచారణాధికారి నెంబర్ 1 2 3 మేఘాల పై నుంచి విమానంలో వచ్చాను.","Came through the clouds about 5:00 high."
"12","నా ఉద్దేశం, నాకు ఏమీ కనిపించడం లేదు.","I mean, I couldn't see anything."
"13","నిజంగా అంటున్నావా?","Are you fucking kidding me?"
"13","వాతావరణం అంచనాలు దెయ్యాల్లాంటివి.","The EAs are like ghosts."
"14","తను నాలుగు పారాచూట్లు చూశానని హింటన్ చెప్పాడు, కానీ నాకు ఏమీ కనిపించలేదు.","Hinton said he saw four chutes, but I didn't see any."
"15","మొదటి నుండి చివరివరకూ, మేఘాలు కమ్ముకున్నాయి.","There was cloud cover, start to end."
"15","అది పొగమంచు, లెఫ్టెనెంట్.","It was a it was a soup, Lieutenant."
"16","ఏమీ చూడలేకపోయాను.","Couldn't see."
"16","ద్వీపాలు?","Islands?"
"17","ఓహ్, ద్వీపాలు ఏవీ నాకు కనిపించలేదు.","Geez, I never saw any islands."
"18","ఒక దశలో, విమానాల మెరుపులు కనిపించాయి.","At that point, I saw muzzle flashes."
"18","పేలుళ్లు ఏవీ లేవు.","No bursts."
"19","అవును, నా ఉద్దేశం, ఆ 190 విమానాలు, అవి మన పక్క నుంచే ఎంత వేగంతో దూసుకెళతాయి?","Yeah, I mean, those 190s, they screech right by us at what?"
"19","గంటకి ఎనిమిది వందల కిలోమీటర్లా?","500 miles per hour?"
"20","పారాచూట్లు?","Chutes?"
"20","ఎవరైనా పారాచూట్లు చూశారా?","Did anyone see any chutes?"
"21","లేదు, మేజర్.","[crew member 1] No, Major."
"21","పైన గందరగోళంగా ఉంది.","It was chaos up there."
"22","ఆకాశంలో ఏమీ కనిపించలేదు.","There was zero visibility."
"22","ఏదైనా చూడటం కష్టమైపోయింది.","Hard to see anything."
"24","బాబూ, నీ గాయాల్ని మేజర్ కి చూపించబోతున్నాను.","Son [clears throat] I'm gonna show the Major your wounds."
"25","అలాగే, సర్.","Yes, sir."
"26","బాసర్ ఫ్రాస్ట్ బైట్ కి ఇక్కడ మేము చేయగల చికిత్స కన్నా మెరుగైన చికిత్స అవసరం.","Bosser's frostbite is gonna require more attention than we can give him here."
"27","కొద్దిగా ఓర్చుకో, బాసర్.","[Buck] Hang in there, Bosser."
"28","నిన్ను రెడ్ గ్రేవ్ హాస్పిటల్ కి పంపించబోతున్నాం.","We're gonna send you to Redgrave Hospital."
"29","నీ ఆరోగ్యం నయం అవుతుంది.","Get you all fixed up."
"30","యుద్ధంలోకి తిరిగి వెళ్లాలని ఆత్రుతగా ఉంది, సర్.","Can't wait to get back in the fight, sir."
"31","మంచిది బాబూ.","[Buck] Good man."
"32","వీళ్లు ఎక్కడ ఉన్నారో గుర్తుంచుకోవాలి.","They have got to remember where they are."
"33","అది ఇరవై ఐదు వేల అడుగుల ఎత్తులో ఇంకా మైనస్ యాభై డిగ్రీల చలిలో.","It is 25,000 feet and 50 below zero."
"34","వాళ్ల మూత్రం కూడా చర్మం మీద గడ్డకట్టుకుపోతుంది.","Their piss freezes against their skin."
"35","ఇలాంటి గాయాల వల్ల గ్రూపులో అనవసరంగా సిబ్బందిని కోల్పోతాం.","These sorts of casualties are unnecessary losses for the group."
"36","మనం మరొక కమాండింగ్ ఆఫీసర్ ని తాజాగా కోల్పోయాం.","Not to mention, we just lost another CO."
"37","హగ్లిన్ కదా?","Huglin?"
"37","అవును.","Yeah."
"38","అతను ల్యాండ్ అయ్యేసరికి అల్సర్ బాగా ముదిరింది.","He burst an ulcer when he landed."
"39","చికిత్స కోసం అతడిని లండన్ లో ఒక నిపుణుడి దగ్గరకి పంపించాను.","I've just put him on a transport to London to see a specialist."
"40","సరే.","Okay."
"40","థాంక్యూ, డాక్టర్.","Thank you, Doc."
"40","ఫర్వాలేదు.","All right."
"41","కానీ, దేవుడా.","I mean, Christ."
"41","నేను ఎంతటి మూర్ఖుడిని?","What kind of idiot am I?"
"41","గడ్డ కట్టించే చలిలో, ఒట్టి చేతులతో నేను తుపాకీ అందుకోవాల్సి వచ్చింది.","It's freezing cold, and I got to grab the gun with my bare hands."
"42","ఆ చల్లటి డబ్బాలోనా?","[Curt] In that icebox?"
"42","పరిస్థితి ఘోరం అయ్యేది.","Could've been worse."
"42","చూడు, ఇలా ఇంకెప్పుడూ జరగదు.","[sighs] Well, it's not happening again."
"43","మంచిది.","Good."
"43","జెంటిల్మెన్.","[Buck] Gentlemen."
"44","సరే.","All right."
"44","త్వరగా కోలుకో, డికీ.","Heal fast, Dickie."
"44","నా కోపైలెట్ నాకు కావాలి.","I need my copilot back."
"45","థాంక్స్, కర్ట్.","Thanks, Curt."
"45","ఆరోగ్యం జాగ్రత్త.","Take care."
"46","మన కుర్రాళ్లతో కలిసి డ్రింక్స్ తాగుదామని బకీ, నేను అనుకున్నాం.",", Bucky and I kind of thought we should have some drinks with a few of the boys."
"46","నువ్వు కూడా వస్తావా?","You want to come?"
"46","థాంక్యూ, కర్ట్.","Thank you, Curt."
"46","నేను ఈ రాత్రికి ఇక్కడే ఉంటాను.","I'm-I'm gonna I'm gonna stay in tonight."
"47","సరే.","Okay."
"47","అలాగే.","All right."
"48","నా తరపున మిగతా అందరికీ చెబుతావా?","You tell the others for me?"
"48","అలాగే.","Of course."
"48","ఆరోగ్యం జాగ్రత్త.","Take care."
"49","ఆరోగ్యం ఎలా ఉంది, డికీ?","How you doing, Dickie?"
"50","ఇది ఆడమ్స్ కోసం.","Here's to Adams."
"50","ష్మాలెన్బాక్ కోసం.","Schmalenbach."
"51","పెట్రిక్.","Petrich."
"52","ఇంకా ధైర్యవంతులైన వాళ్లందరి కోసం.","And all their brave men."
"54","నువ్వు బాగానే ఉన్నావా?","[Curt] You good?"
"55","నువ్వు ఏమైనా ఫీల్ అవుతున్నావా?","Do you feel anything?"
"56","నువ్వు ఏమైనా ఫీల్ అవుతున్నావా?","Huh? [Bucky] You feel anything?"
"57","అవును.","Yeah."
"57","మన సిబ్బందిని మిస్ అవుతున్నాను.","I miss those guys."
"58","ఎందుకంటే నేను, నేను ఏమీ ఫీల్ కావడం లేదు.","Because me, I don't I don't feel a thing."
"60","నాకు ఒక సాయం చేయగలవా?","Can you do me a favor?"
"61","ఏంటి?","What?"
"61","ఇలా రా.","Come here."
"62","నువ్వు నన్ను కొట్టాలి.","I want you to hit me."
"63","ఇది ఆదేశం.","That's an order."
"63","వచ్చి కొట్టు.","Come on."
"64","అలాగే.","All right."
"65","నీ దెబ్బ నేరుగా నా ముక్కు మీద పడాలి.","I want you to land one right on my beak."
"66","సరిగ్గా ఇక్కడ.","Right here."
"66","మేజర్.","Major."
"67","నన్ను ""మేజర్"" అనద్దు.","Don't give me ""Major."
"67","నన్ను ""మేజర్"" అని పిలవద్దు.",""" I don't want ""Major."
