File_Path,Original_Index_1,Original_Index_2,New_Timestamp,Merged_Dialogue_Start
1 tel.srt,58,59,"00:05:29,162 --> 00:05:32,833","-ఎందుకు వెళ్ళలేవు? -చూడు, -నాకు ఒక అపరిచితుడితో... -అతను అపరిచితుడు కాదు."
1 tel.srt,110,111,"00:07:42,629 --> 00:07:46,091","ఒక కాపలా కుక్క నిన్ను కేవలం కరుస్తుంది, కానీ ఒక చెల్లెలిగా, నేను నీ పేగులు పీకి,"
1 tel.srt,149,150,"00:09:17,057 --> 00:09:22,187","మేమది సిఫార్సు చేస్తాము, అవి, కొత్త వాటికి... కర్టెన్లు పూర్తి చెయ్యడానికి,"
1 tel.srt,154,155,"00:09:33,824 --> 00:09:37,828","-ఓహ్, మీరు కుట్టరనుకుంటాను. -అంటే, -ఎందుకంటే అది మన్నికను పెంచుతుంది. -అప్పుడు మీరు డబ్బు ఎక్కువ తీస"
1 tel.srt,201,202,"00:13:04,034 --> 00:13:09,873","నీ సొంత ఆఫీసులో, కర్టెన్ల వెనుక దాక్కుని, నువ్వు గోడకి చతికిలపడ్డావు."
1 tel.srt,288,289,"00:18:32,404 --> 00:18:37,159","సమస్య ఏమిటంటే, నేను ఆమెతో విడిపోయేముందు, సెలవులకి మెక్సికో తీసుకువెళ్తానని మాట ఇచ్చాను."
1 tel.srt,290,291,"00:18:37,743 --> 00:18:42,998","ఇప్పుడు ఆమె వచ్చి, నేను ఆమెని మెక్సికో తీసుకువెళ్ళాలని అంటుంది."
1 tel.srt,386,387,"00:22:54,416 --> 00:22:58,629","హే, జో. నీ దగ్గర కూర్చోడానికి కుర్చీలాంటిది ఏమైనా ఉందా, నా స్నేహితుడు తాగడానికి కొంచెం మంచినీళ్ళు ఇస"
1 tel.srt,467,468,"00:26:41,268 --> 00:26:44,438","-అది పరవాలేదు. -నేను ఏదైనా బాగా చేస్తాను అంటే, అది నా డబ్బు లెక్క."
1 tel.srt,489,490,"00:27:32,319 --> 00:27:36,073","గంట దాటితే, మీరు మళ్ళీ పూర్తి గంటకు డబ్బు చెల్లించాలి."
1 tel.srt,504,505,"00:28:05,978 --> 00:28:10,649","ఒక ఆకుపచ్చని రంగు మాట్ తో, బివెల్డ్ అంచుతో, -ఇది చాలా... -నేను ఏమంటున్నానంటే..."
1 tel.srt,518,519,"00:28:55,485 --> 00:29:00,115","మీరు గెలుస్తున్నారని అనుకుంటారు కానీ ఆమె ఏదో మాయ చేసి, మాటకు మాట చెప్పి మీరు తన మాట ఒప్పుకునేలా చేస్"
1 tel.srt,550,551,"00:30:21,238 --> 00:30:25,367","అతను ఇంతకు ముందు ఏమన్నాడో నేను చెప్పలేను, కానీ అతనిప్పుడు అంటున్నది నేను స్పష్టంగా వింటున్నాను."
1 tel.srt,553,554,"00:30:28,287 --> 00:30:32,040","మీరు అతనికి ఫోన్ చెయ్యడం, అతని ఆఫీసుకి రావడం ఆపాలని,"
1 tel.srt,560,561,"00:30:49,474 --> 00:30:55,647","మీరు ఇలా చేయడం కొనసాగిస్తే, మీకు ఉండే వ్యూ కేవలం జైలు నాలుగు గోడలని మార్టీ అంటున్నాడు."
1 tel.srt,571,572,"00:31:25,844 --> 00:31:29,640","అంటే నేను వాటిని ఎప్పుడూ తీసుకోలేదు, కానీ, అంటే, డ్రగ్స్ తీసుకుంటే ఇలానే అనిపిస్తుందని అనుకుంటున్నాన"
2 tel.srt,16,17,"00:01:15,367 --> 00:01:20,914","మనం కొవ్వొత్తులు వెలిగించి, కొంచెం కేక్ తిని, అమ్మమ్మ ఫ్లోతో ఒక డాన్స్ చేసి ఇక్కడి నుంచి వెళ్ళిపోదామ"
2 tel.srt,32,33,"00:02:14,468 --> 00:02:20,057","నేను మిడ్ టౌన్ కి డ్రైవ్ చేసుకుని వెళ్ళాను, నాకు పార్కింగ్ టికెట్ వచ్చింది, నేనా ట్రాఫిక్ పోలీసుతో 2"
2 tel.srt,54,55,"00:03:07,771 --> 00:03:12,192","అంటే, ఆయన నా భావాల గురించి మట్లాడమంటారు, కానీ నా ముఖ్య భావన నాకు మాట్లాడాలని లేకపోవడం."
2 tel.srt,108,109,"00:05:38,088 --> 00:05:45,804","మనం వారిని పోగొట్టుకున్నప్పుడు, వారితో పాటే మగతనానికి ప్రతీక అయిన దానిని పోగిట్టుకున్నామని అనిపిస్తు"
2 tel.srt,112,113,"00:05:54,229 --> 00:06:03,238","అంటే, అవును. ఆయన ఇక లేరు కాబట్టి, అందరూ నేను ఆయన స్థానాన్ని పూరించాలని చూస్తున్నారు అనిపిస్తోంది."
2 tel.srt,120,121,"00:06:33,810 --> 00:06:39,483","సరిగ్గా మనం పురోగతి సాధిస్తున్న సమయానికి సెషన్ అయిపోవడం నాకు నచ్చదు, కానీ ఈ మంచి డాక్టర్ భోజనం చెయ్య"
2 tel.srt,123,124,"00:06:44,154 --> 00:06:50,953","సాధారణంగా నేను హోటల్ కి వెళ్లి ఏదో ఒకటి తింటాను, కానీ నువ్వు నాతో వచ్చి ఇది పూర్తి చెయ్యాలని అనుకుంట"
2 tel.srt,139,140,"00:07:23,569 --> 00:07:27,656","కొన్ని సార్లు నా పేగులు వాటంతట అవే ముడి పడిపోతాయి, -ఒక ఫోన్ వైర్ లా. -అలాగా."
2 tel.srt,146,147,"00:07:42,546 --> 00:07:46,425","కానీ, నువ్వు ఇలాగే చాలా వాటికి దూరంగా ఉంటున్నావని అనుకుంటున్నాను, అవునా?"
2 tel.srt,160,161,"00:08:27,007 --> 00:08:30,385","నవ్వు కొంత బాధ్యత తీసుకుని, ఒక నిర్ణయం తీసుకోవాలని అనుకుంటాను."
2 tel.srt,168,169,"00:08:43,857 --> 00:08:51,365","ఒక్కగానొక్క కొడుకుగా, మార్టీ, నిన్ను బాగా గారాబం చేసారనుకుంటాను. నీకు పెద్దవ్వాల్సిన అవసరం రాలేదు."
2 tel.srt,209,210,"00:11:33,151 --> 00:11:37,114","అందుకోసం, మొత్తం జట్టు వాంఛనీయమైన పనితీరును"
2 tel.srt,224,225,"00:12:25,746 --> 00:12:31,084","అది, నువ్వు తెలుసుకోవాలనుకుంటే, ఇవాళ జోయెల్ జుట్టును తీసేసే క్రీమ్ తో తల స్నానం చేశాడు."
2 tel.srt,245,246,"00:13:25,514 --> 00:13:31,395","పని వద్ద, ముఖ్యమైంది, మనం…"
2 tel.srt,257,258,"00:13:59,298 --> 00:14:06,722","ఈ ఒక్క సందర్భంలో, వ్యక్తిగత హక్కుగా, నేను ముందు చెప్పబడిన పరిమితుల నుండి మినహాయించబడతాను,"
