"Index","Telugu Text","Mapped English Text"
"1","రెండు వైపులా చూడండి అబ్బా. సరే, జాగ్రత్తగా కాలు పెడదాం. అబ్బా, ఇది బన్హిల్ ఫీల్డ్స్ చారిత్రక నేపథ్యాన్ని పరిరక్షించడంలో మాకు సహకరించండి","Fuck. Hang on. , fuck it's."
"2","ఛ.","Shit. Give me your hand."
"3","ఇది చాలా ఎత్తుగా ఉంది. జాగ్రత్త. మరీ అంత ఎత్తేమీ కాదులే. జాగ్రత్త. సరే, మిన్. పర్వాలేదు. మరీ అంత కష్టమేమీ కాదులే.","It's higher than it looks. Be careful. It's not that high. Just be careful. All right, Min. It's fine. It's not that hard."
"4","ఇది చాలా ఎత్తులో ఉంది. సిద్దమా?","It's just higher than it looks. Ready?"
"5","చేతులను తీయ్, మిన్.","Hands off, Min."
"6","ఛ.","Shit."
"7","అబ్బా. ఇప్పుడు ఎందుకు గొణుక్కుంటున్నావు?",", for fuck's sake. What are you moaning about now?"
"8","నా కోటు చినిగిపోయింది.","Fucking ripped my coat. Huh?"
"9","నా కోటు పూర్తిగా చినిగిపోయింది.","I've ripped my coat completely."
"10","నువ్వు బాగానే ఉన్నావు కదా? హా, బాగానే ఉన్నా. ఎందుకలా అడిగావు? ఎవరైనా ఉన్నారా?","You okay? Yeah, I'm fine. Why? You see anyone?"
"11","లేదు, నీకు ఎవరైనా కనిపిస్తున్నారా? కవి, చిత్రకారుడు అయిన విలియమ్ బ్లేక్ సమాధి","No, can you? No."
"13","టావెర్నర్ వాయిస్ మెయిల్.","Taverner's voice mail."
"14","కారులో నాకు చెప్తానని చెప్పావు కదా.","In the car you said you'd tell me."
"15","మరి, చార్ల్స్ మరణం గురించి తను ఏం అంటోంది?","So, what what did she mean about Charles's death?"
"16","ఇక్కడ పరిస్థితి గమనించావా? అడగాల్సిన సమయం ఇదేనా?","Read the room, will you? Is now really the time?"
"17","ల్యాంబ్ ఉన్నాడు.",", it's Lamb."
"19","ప్రేమ పావురాలు.",", ""Minuisa."""
"20","మీ దగ్గర కీ ఉందా?","You've got a key?"
"21","స్ట్రువన్ ఏమైపోయాడు? స్ట్రువన్ ని తీసుకురమ్మని మీకు చెప్పా కదా.","Where the Where the fuck is Struan? I told you to get Struan."
"22","మా కన్నా ముందే వాళ్లని డాగ్స్ స్క్వాడ్ తీసుకెళ్లిపోయింది.","The Dogs got to him just before us."
"23","వాళ్లు మిమ్మల్ని చూశారా? లేదు.","Did they see you? Yo."
"24","కార్ట్ రైట్ ఎక్కడ?","Cartwright?"
"25","స్లీపింగ్ బ్యూటీ ఎలా ఉందో చూడటానికి వెళ్లాడు.","Went to try and wake Sleeping Beauty."
"26","సిడ్. తను కోమాలో ఉంది, అందంగానూ ఉంటుంది.","Sid. She's in a coma and is a beauty."
"27","తన తలకు బుల్లెట్ గాయం అయ్యుందిలెండి.","Or was, till she got shot in the head."
"28","ఏంటి, హో!",", Jesus, Ho."
"29","డాగ్స్ స్క్వాడ్ వచ్చింది, కాబట్టి నేను వచ్చేశా.","Dog rolled up, so I split."
"30","మనం బయలుదేరాలి.",", we gotta go."
"31","టావెర్నర్ మనల్ని ఒకళ్ల తర్వాత మరొకరిని అదుపులోకి తీసుకుంటుంది.","Taverner will pick us off one by one."
"32","ఇతర స్లో హోర్స్ ఏజెంట్లని ఇరికించే విధంగా మాట్లాడుతుంది.","Find someone to turn."
"33","తను, బ్లాక్ కలిసి ఒక ప్లాన్ వేశారు.","She and Black had a plan."
