"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:10,344","00:00:12,429","**[NO TELUGU MATCH FOUND]**","[metal clinking]"
"2","00:00:46,171","00:00:49,216","**[NO TELUGU MATCH FOUND]**","- [chuckles] - [cell phone buzzing] Oh."
"3","00:00:50,551","00:00:52,094","గ్రేనర్.","[sighs] Graner."
"4","00:00:52,177","00:00:54,656","నువ్వు అడిగినట్టే కిల్మర్ మెదడులోని డేటాను పరిశీలించాము.","[Mr. Graner] We ran the data from Kilmer's head like you asked."
"5","00:00:54,680","00:00:57,320","చిప్ ని హ్యాక్ చేయడానికి వాళ్లు ఉపయోగించిన కన్సోల్ గుర్తును మేము కనిపెట్టాం.","We found the signature from the console they used to hack the chip."
"6","00:00:57,349","00:00:59,268","ఎవరి గుర్తు అది?","[exhales deeply] Whose was it?"
"7","00:00:59,351","00:01:00,519","మనదే.","Ours."
"8","00:01:00,602","00:01:02,229","అది రెగాబీకి చెందినది అనుకుంటా.","I think it's traceable to Reghabi."
"9","00:01:02,312","00:01:04,772","- రెగాబీ. - అవును.","- Reghabi. - Yep."
"10","00:01:04,857","00:01:07,276","తను ఏకీకరణ ఎలా చేయాలో కనిపెట్టేసింది. తన ఆచూకీని కనిపెడతాను.","She cracked reintegration. I'll find her."
"11","00:01:08,485","00:01:10,195","**[NO TELUGU MATCH FOUND]**","[sighs]"
"12","00:01:20,497","00:01:23,333","**[NO TELUGU MATCH FOUND]**","[breathing deeply]"
"13","00:01:32,009","00:01:39,349","""నాలోని నాలుగు ఆవేశ గుణాలను అదుపులో ఉంచి..."" మర్టుల్ ఈగన్ బాలికల పాఠశాల ""...నిన్ను మరింతగా సేవించెదను.""","[inhales sharply] ""Tame in me the tempers four that I may serve thee evermore."
"14","00:01:39,433","00:01:48,317","లూమన్ ఇండస్ట్రీస్ - అధిక నాణ్యత గల ఔషధ సంబంధిత చికిత్సా విధానాలు ""నేను తొమ్మిది గుణాలను అలవరచుకొని..."" సత్ప్రవర్తన - నూటికి నూరు శాతం లోపాలేవీ లేకుండా ఉండాలని ప్రయత్నిస్తే, ఖచ్చితంగా విఫలమవుతావు ""...పరమాత్మునితో ఏకం అవుతాను.""","Place in me the values nine that I may feel thy touch divine."""
"15","00:01:48,400","00:01:49,401","కొబెల్, చార్లెట్ 3-17-44","**[NO ENGLISH MATCH FOUND]**"
"16","00:03:45,893","00:03:46,894","**[NO TELUGU MATCH FOUND]**","[beeps]"
"17","00:03:48,353","00:03:51,732","మిస్డ్ కాల్స్ జాబితా బ్లాక్ చేయబడినది - బ్లాక్ చేయబడినది - బ్లాక్ చేయబడినది","**[NO ENGLISH MATCH FOUND]**"
"18","00:03:56,361","00:03:57,571","**[NO TELUGU MATCH FOUND]**","[cell phone snaps shut]"
"19","00:04:02,201","00:04:03,493","**[NO TELUGU MATCH FOUND]**","[sighs]"
"20","00:04:03,577","00:04:05,579","**[NO TELUGU MATCH FOUND]**","[engine starts]"
"21","00:04:11,376","00:04:12,377","**[NO TELUGU MATCH FOUND]**","[sighs]"
"22","00:04:13,545","00:04:24,306","**[NO TELUGU MATCH FOUND]**","[tires squeal]"
"23","00:04:28,477","00:04:29,603","**[NO TELUGU MATCH FOUND]**","[hand brake engages]"
"24","00:04:39,071","00:04:40,364","**[NO TELUGU MATCH FOUND]**","[hand brake disengages]"
"25","00:04:48,830","00:04:51,375","**[NO TELUGU MATCH FOUND]**","[electricity humming]"
"26","00:04:54,628","00:04:56,171","నేను లోపలికి రావచ్చా?","[Irving] Can I come in?"
"27","00:04:56,255","00:04:57,965","రావచ్చు. రావచ్చు.","[Burt] Yeah. Mm-hmm. Yeah."
"28","00:05:07,808","00:05:09,518","దీన్ని నువ్వే కనుగొన్నావా?","[Irving] You found this?"
"29","00:05:10,686","00:05:11,979","కనుగొని చాలా కాలమైందిలే.","[Burt] A while back."
"30","00:05:13,355","00:05:16,733","అప్పుడప్పుడూ నేను ఒక్కడినే ఇక్కడికి వస్తుంటా.","I come here sometimes, just me."
"31","00:05:21,780","00:05:24,449","ఇప్పుడు దీన్ని నీకు చూపాలనుకున్నాను.","Now, I want to show it to you."
"32","00:05:25,826","00:05:27,119","ఇది చాలా అందంగా ఉంది.","It's beautiful."
"33","00:05:29,204","00:05:33,000","దీన్ని కేవలం మనం మాత్రమే వాడుకోవచ్చు. మన రహస్యమైన ప్రదేశంలా అన్నమాట.","It could be just for us. Our secret place."
"34","00:05:35,169","00:05:36,336","ఎట్టకేలకు.","Finally."
"35","00:05:37,629","00:05:45,179","నా ఉద్దేశం ఏంటంటే, ఓ&డీ వాళ్లు మంచివాళ్ళే, కానీ వాళ్లు... - ఎప్పుడూ పక్కనే ఉంటారు. - అవును.","What I mean to say is that your O&D colleagues a-are very nice, but they're also, uh… - Always around. - Yes."
"36","00:05:53,770","00:05:55,189","ఇది పర్లేదా?","[Burt] Is this okay?"
"37","00:05:56,398","00:05:57,399","**[NO TELUGU MATCH FOUND]**","[sighs]"
"38","00:05:58,483","00:06:04,573","అర్వింగ్, లూమన్ మాన్యువల్ లో లిప్ కిస్ గురించి ప్రస్తావన లేదు, కాబట్టి మరేం పర్వాలేదు.","Irving, you know, the Lumon manual doesn't say anything about lip-to-lip contact."
"39","00:06:05,616","00:06:10,287","కానీ ప్రేమాయాణలను నెరపవద్దు అని చెప్తోంది కదా.","It does discourage romantic fraternization, though."
"40","00:06:10,370","00:06:12,206","అయితే ఇది ప్రేమగా ఉండకూడదా?","This can't be romantic then."
"41","00:06:14,374","00:06:15,375","ఉండకూడదు.","No."
"42","00:06:17,544","00:06:21,215","అస్సలు... ఉండకూడదా?","Not romantic… at all?"
"43","00:06:25,719","00:06:31,099","నన్ను క్షమించు... నేను అందుకు సిద్ధంగా లేను, అంతే.","[whispers] I'm truly sorry… [inhales deeply] I... I'm just not ready."
"44","00:06:31,934","00:06:32,935","**[NO TELUGU MATCH FOUND]**","[sighs]"
"45","00:06:34,102","00:06:35,479","నన్ను... నన్ను క్షమించు.","I'm... I'm sorry."
"46","00:06:38,232","00:06:39,775","**[NO TELUGU MATCH FOUND]**","[smacks lips, inhales sharply]"
"47","00:06:41,026","00:06:42,152","పర్వాలేదులే.","It's fine."
"48","00:06:45,405","00:06:46,573","ఇలాగే ఉండు.","Just stay."
"49","00:06:48,784","00:06:52,079","నాతో కాసేపు ఉండు.","Stay here with me."
"50","00:06:55,958","00:06:58,210","**[NO TELUGU MATCH FOUND]**","[children chattering]"
"51","00:07:01,505","00:07:03,715","**[NO TELUGU MATCH FOUND]**","[humming]"
"52","00:07:13,267","00:07:19,439","నువ్వు చక్కగా ప్రవర్తించావు. ఇప్పుడు మనం ఇంటికెళ్లి, నువ్వు పాలు తాగుతావో లేదో చూద్దాం. తాగాలమ్మా.","- You did so good. - [whimpers] Now we're gonna go home and see if you'll eat. Please."
"53","00:07:26,822","00:07:27,823","**[NO TELUGU MATCH FOUND]**","Ah!"
"54","00:07:31,535","00:07:32,661","**[NO TELUGU MATCH FOUND]**","[chuckles]"
"55","00:07:45,257","00:07:47,509","మనిద్దరమూ తల్లులం అయినట్టున్నాం కదా.","Looks like we both made it through."
"56","00:07:47,593","00:07:49,511","- హలో. - హాయ్.","- Oh, hello. - Hi. [chuckles]"
"57","00:07:50,220","00:07:52,264","నేను డెవన్ ని. పురుడు పోసే రిసార్ట్ లో కలుసుకున్నాం కదా.","Devon. From the retreat."
"58","00:07:52,347","00:07:54,558","మీరు నాకు కాఫీ కూడా ఇచ్చారు.","I accosted you for your coffee."
"59","00:07:55,058","00:07:58,645","బుడ్డోడు చాలా అందంగా ఉన్నాడు.","- [chuckles] - [laughs] Aw, he's beautiful."
"60","00:07:58,729","00:08:00,022","అచ్చం పేరుకు తగ్గట్టు విలియమ్ లానే ఉన్నాడు.","He looks like a William."
"61","00:08:00,772","00:08:02,900","నిజానికి, వీడికి బ్రాడ్లీ అని పేరు పెట్టాం.","His name's Bradley, actually."
"62","00:08:04,067","00:08:05,068","విలియమ్ కాదా?","Not William?"
"63","00:08:06,486","00:08:09,448","- మార్చారా? - మనం జ్యూస్ బాక్సులని కారులోనే ఉంచేశామా?","- You changed it? - Did we leave the juice boxes in the car?"
"64","00:08:10,324","00:08:11,450","అంతే అయ్యుండవచ్చు.","[Gabby] We must have, yeah."
"65","00:08:12,409","00:08:15,204","హాయ్, నా పేరు ఏంజెలో ఆర్టెటా.","Hi. Angelo Arteta."
"66","00:08:15,287","00:08:16,997","నా పేరు డెవన్. మిమ్మల్ని కలిసినందుకు సంతోషంగా ఉంది.","I'm Devon. Nice to meet you."
"67","00:08:17,080","00:08:19,458","- తల్లి అయినందుకు అభినందనలు. - థ్యాంక్యూ.","- [Angelo] Congratulations there. - Oh, thank you."
"68","00:08:19,541","00:08:21,251","మీ ఇద్దరికీ పరిచయం ఉందా?","You two know each other?"
"69","00:08:21,335","00:08:24,087","అవును, నేను... మేము... పురుడు పోసే కాటేజీలలో కలుసుకున్నాం.","Yeah, I was... We were... Met at the birthing cottages."
"70","00:08:24,171","00:08:25,464","**[NO TELUGU MATCH FOUND]**","Mm-hmm."
"71","00:08:26,131","00:08:29,134","- మిమ్మల్ని కలవడం కూడా బాగుంది, డెవన్. - అవును, మిమ్మల్ని కూడా.","- Nice to meet you too, Devon. - [laughs] Yeah. You too."
"72","00:08:32,304","00:08:33,347","వావ్.","Wow-kazow."
"73","00:08:33,429","00:08:34,640","**[NO TELUGU MATCH FOUND]**","- [chuckles] - Mm-hmm."
"74","00:08:35,640","00:08:36,642","మనం ఇక బయలుదేరాలి.","We should go."
"75","00:08:38,558","00:08:40,229","- బై. బై. - బై.","- [Gabby] Bye. Bye. - Bye, you guys."
"76","00:08:41,313","00:08:42,313","బై, బ్రాడ్లీ.","Bye, Bradley."
"77","00:08:42,856","00:08:43,857","**[NO TELUGU MATCH FOUND]**","[Gabby chuckles]"
"78","00:08:45,234","00:08:47,361","డెక్లన్, కాయ్, వెళ్దాం పదండి.","[Angelo] Declan, Kai, come on."
"79","00:08:48,487","00:08:50,697","ఓయమ్మో.","What in the fuckity fuck?"
"80","00:08:50,781","00:08:51,865","**[NO TELUGU MATCH FOUND]**","[Eleanor fusses]"
"81","00:08:51,949","00:08:52,950","క్షమించు.","Sorry."
"82","00:08:55,202","00:08:57,287","సాంగత్యం అంటే ఏంటి?","[Ricken] What does camaraderie mean?"
"83","00:08:58,038","00:08:59,039","ఇరవై తొమ్మిదవ అధ్యాయం సాంగత్యం","**[NO ENGLISH MATCH FOUND]**"
"84","00:08:59,122","00:09:06,213","అధిక శాతం భాషా పండితులు, అది ల్యాటిన్ పదమైన ""కెమెరా"" నుండి వచ్చిందని అంటారు, అంటే ""ఫోటో తీయడానికి ఉపయోగించే పరికరం"" అని అర్థం.","Most linguists agree it comes from the Latin ""camera,"" which means ""a device used to take a photograph."""
"85","00:09:07,714","00:09:13,846","ఎంతైనా, ఒకరిపట్ల మరొకరి ప్రేమ ఉండీ ఎప్పుడూ చిరునవ్వుతో ఉండే మిత్రులవే మంచి ఫోటోలు అవుతాయి.","And of course, the best photographs are of groups of happy friends who love each other deeply."
"86","00:09:13,929","00:09:14,972","నువ్వు అనబడే నువ్వు","**[NO ENGLISH MATCH FOUND]**"
"87","00:09:15,055","00:09:19,268","కానీ, సాంగత్యం అంటే ఫోటోలలో నవ్వుతూ ఉండటం మాత్రమే కాదు.","But I think camaraderie is more than smiling together in photos."
"88","00:09:19,852","00:09:22,521","కష్టాలలో తోడుగా ఉండటం కూడా.","It's standing together in hard times."
"89","00:09:23,272","00:09:31,947","సాటి మనిషిలో మీరు ఎదుర్కొనే కష్టాన్నే గుర్తించి వారికి ఆపన్నహస్తం అందించడమే సాంగత్యం అంటే.","It's recognizing a common struggle in another person and reaching out to offer them a loving hand."
"90","00:09:36,743","00:09:40,205","చిన్న వంట గది మనం వీలైనంత త్వరగా ఓ&డీకి వెళ్లాలి.","We should return to O&D immediately."
"91","00:09:40,289","00:09:41,790","అందరమూ. ఇవాళే.","All of us. Today."
"92","00:09:41,874","00:09:43,292","ఎవరో ప్రేమాయణం నడపాలని తహతహలాడిపోతున్నారే!","Someone's eager to fraternize."
"93","00:09:43,375","00:09:45,127","దీనికీ ప్రేమయాణానికి ఏ సంబంధమూ లేదు.","Fraternization has nothing to do with it."
"94","00:09:45,210","00:09:50,757","ఇలా చేస్తే కియర్ ఆకాంక్షించినట్టుగా డిపార్టుమెంట్ల మధ్య స్నేహానికి మనం బీజం వేసినవారమవుతాం.","This could be the start of us uniting the departments the way Kier always intended."
"95","00:09:50,841","00:09:52,634","బహుశా ఆయన ఆత్మే మీ పెళ్లి జరిపిస్తుందేమోలే.","Maybe his ghost can officiate your wedding."
"96","00:09:52,718","00:09:55,864","ఇది ఆఫీసులో మాట్లాడే పద్ధతి కాదు. నేను నీపై స్వీయ ఫిర్యాదు చేసుకుంటున్నాను.","[Irving] This is inappropriate workplace commentary. And I'm self-reporting you."
"97","00:09:55,888","00:09:58,056","నువ్వు నాపై నీకు నువ్వే ఫిర్యాదు చేసుకుంటున్నావా?","- You're reporting me to yourself? - [Irving] Mm-hmm."
"98","00:09:58,140","00:10:00,017","సరే. వాళ్లు ఏవో చేస్తున్నారని అన్నావు కదా?","Okay. You said they were making things?"
"99","00:10:00,100","00:10:02,269","అవును, ఏవో యంత్రాలలో చేస్తున్నారు. అవేంటి అని మేము అడగలేదు.","Yes, in some kind of machines. We didn't ask what."
"100","00:10:02,352","00:10:04,072","మేకలను చంపడానికి కర్రలను తయారు చేస్తుంటారు.","It's the clubs they murder those goats with."
"101","00:10:04,146","00:10:05,147","ఇక ఆపు.","[Helly] Shut up."
"102","00:10:05,731","00:10:07,941","నేను అర్వింగ్ అన్నదానితో ఏకీభవిస్తాను. ఓ&డీకి ఇందులో కీలకమైన భాగం ఉంది.","I agree with Irving. O&D is the next piece of this."
"103","00:10:08,025","00:10:11,820","- మనం ఈ అంతస్థునంతా మ్యాప్ రూపంలో... - మ్యాప్ చేయడానికి నేను వ్యతిరేకమని ఖరాకండిగా చెప్తున్నా.","- Now, once we've mapped the whole floor... - To be clear, I do not approve of mapping."
"104","00:10:12,613","00:10:13,697","సరే.","Right."
"105","00:10:13,780","00:10:16,283","మనం మరోసారి ""మానసిక ఆరోగ్యానికి నడుద్దామా""?","What if we go on another ""mental health walk""?"
"106","00:10:16,366","00:10:17,367","సరదాగా ఉంటుంది.","Could be fun."
"107","00:10:19,870","00:10:21,038","ఏంటి... ఏమో మరి.","What... I don't know."
"108","00:10:21,121","00:10:25,834","అంటే, మనకి ఇంకా చాలా పని ఉంది, కాబట్టి... అవునులే.","I mean, we... we... We still have a lot of work to do, so… Oh, right."
"109","00:10:27,211","00:10:29,838","ఈ పని రహస్యమైనది, ముఖ్యమైనది.","The work is mysterious and important."
