File_Path,Original_Index_1,Original_Index_2,New_Timestamp,Merged_Dialogue_Start
10t.srt,3,4,"00:00:22,232 --> 00:00:26,861","లేదు. ఈ ఇంటికి ఏదో లోపం ఉన్నట్లుంది, ఇది చూడటానికి అయితే చాలా చక్కగా ఉంది."
10t.srt,42,43,"00:02:31,319 --> 00:02:34,696","ఒక వెడ్డింగ్ ప్లానర్ నన్ను అడిగే మొదటి ప్రశ్న, ""ఎంతమంది తోడపెళ్లికూతుళ్లు ఉంటారు?"""
10t.srt,62,63,"00:03:28,376 --> 00:03:35,133","వాళ్లందరివీ వేరే ప్రపంచాలు ఇంకా, నీకు తెలుసు, నేను ఇంకా విల్ కలిశామంటే, మేము ఊరికే, అంటే, అలా అనాలోచ"
10t.srt,78,79,"00:04:17,634 --> 00:04:23,390","సరే, మంచిది. సరే మొదటిది ఏమిటంటే ""వన్స్ అపాన్ ఏ వెడ్డింగ్"" థీమ్, ఇంక రెండోదేమో, ""టూ మినిట్స్ టు మిడ్"
10t.srt,119,120,"00:05:57,234 --> 00:06:01,947","నీకు పాత సామెత తెలుసు కదా, ""ఏదైనా కొంటే, మన సమస్యలన్నీ పోతాయి."""
10t.srt,138,139,"00:06:57,002 --> 00:07:00,463","నేను ఇంటి పైకప్పు ఎక్కితే, నేను దీన్ని మొత్తం సరిచేసి మళ్లీ ప్లగ్ పెట్టగలుగుతాను."
10t.srt,158,159,"00:07:47,636 --> 00:07:52,182","- ఏదో కలుపుతాడా? నీ ఉద్దేశం ఏంటి? - అవును, అంటే, - కాల్చిన దాల్చిన చెక్క. - ఓహ్, అయ్యో."
10t.srt,169,170,"00:08:16,122 --> 00:08:20,293","అతను చాలామంది తన వ్యతిరేకులతో గొడవ పడి ఉండాలి, ఎందుకంటే ఆ గొడవ వల్ల అతనికి నా మీద ఎలాంటి దురభిప్రాయం"
10t.srt,176,177,"00:08:44,568 --> 00:08:47,486","అది, అంటే, ఏమైనా ఆర్మీ హెలికాప్టరా, - లేక డ్రోన్ కానీ అలాంటిది కావచ్చా? - లేదు."
10t.srt,228,229,"00:10:48,858 --> 00:10:51,944","తిరిగి ఇంటి పైకప్పు మీదకి వెళ్లి గమనించాలి, - అది బహుశా ఇటుగా మళ్లీ రావచ్చేమో. - సరే."
10t.srt,259,260,"00:12:02,057 --> 00:12:06,560","నాకు తెలిసి, మనం వాదించుకుంటూ ఉండగా ముగ్గురు చిన్నారులు వింటున్నారు, ఆ ఘటన గురించి లేదా అణువిద్యుత్,"
10t.srt,289,290,"00:13:29,853 --> 00:13:37,110","అంటే, ఇలా చూడు, లెక్క ప్రకారం చూస్తే, నాకు ఎప్పుడూ అనిపిస్తుంది, ఈ విశ్వంలో మనుషులు మాత్రమే జీవిస్తు"
10t.srt,292,293,"00:13:39,988 --> 00:13:45,076","నీకు తెలుసా, ఈ రాత్రి నీకు జరిగిన అనుభవం వల్ల, అటువంటి విషయాల గురించి మనం కలిసి పరిశోధన చేయగలమేమో అన"
10t.srt,296,297,"00:13:49,581 --> 00:13:55,253","నీకు గోల్ఫ్ ఆట ఇష్టం ఉండదు. ఇంకా పికిల్ బాల్ మీద కూడా, నీకు ఆసక్తి పోయింది, కాబట్టి మన ఇద్దరం కలిసి "
