"Index","Telugu Text","Mapped English Text"
"2","హాయ్.","Hi."
"9","నా తాళం చెవులు ఇక్కడే ఉన్నాయి కదా.","Please tell me my keys are here."
"10","ఆ గిన్నెలో ఉన్నాయి.","In the fishbowl."
"11","నాకు కనబడట్లేదే నేనే తీసుకొని అక్కడ పెట్టా.","I don't see them They are there. I took them."
"12","ఉన్నాయి.","Here they are."
"13","కానీ అన్నీ లేవు.","But not all of them."
"14","ఏమో.","I don't know."
"14","నీ దగ్గర అవే ఉన్నాయి మరి.","That's what you had."
"22","ఫ్రెడ్డీ.","Freddie."
"22","నేను గేమ్ మధ్యలో ఉన్నాను.","I'm not pausing."
"23","వచ్చి తలుపు తెరువు.","Open the door."
"29","ఇలాంటి చెత్తని నువ్వు వారాంతాల్లో మాత్రమే తినాలి.","You can only eat this junk on weekends."
"30","ఇంట్లో అవి తప్ప ఇంకేమీ లేవు.","It's all we have."
"30","అది అబద్ధం.","It's not."
"31","ఇక పద.","Come on."
"31","తయారవ్వు.","Get going."
"32","స్కూలుకా?","To go to school?"
"32","మరి స్కూలుకే కదా?","You have to go to school?"
"33","అవును, స్కూలుకి వెళ్లాలి.","Yeah, you have to go to school."
"33","నేను ఆఫీసుకు వెళ్లాలి.","I go to work."
"33","నువ్వు స్కూలుకు వెళ్లాలి.","You go to school."
"34","అదీ లెక్క.","That's the deal."
"35","అయినా నువ్వు ఆఫీసుకు వెళ్లట్లేదు కదా.","You weren't working though."
"36","నేను ఆఫీసు నుండే వస్తున్నా.","I I was at the office."
"37","అక్కడి నుండే నీకు కాల్ చేశా.","I called you from there."
"37","అది అబద్ధం.","No, you didn't."
"38","సరే.","Okay."
"39","సరే, ఫ్రెడ్డీ, నేను నీకు కాల్ చేయలేదేమో.","Okay, Freddie, maybe I didn't."
"39","నాకు తెలీదు.","I don't know."
"40","అయినా కానీ నువ్వు స్కూలుకు వెళ్లాలి.","But you still have to go to school."
"40","నా మాట విను.","Please."
"41","స్కూలుకు వెళ్దాం పద.","Let's go to school."
"42","నేను దింపుతాను.","I'll drop you off."
"43","హేయ్.","Hey."
"44","కారులో ఇది మర్చిపోయావా?","You leave this in the car?"
"45","అది నాది కాదు.","That's not mine."
"48","సరే.","Yeah, okay."
"48","నీ మాటలు వినబడ్డాయి.","I heard you."
"50","ఒక్క నిమిషం.","Wait."
"50","మనం లంచ్ చేసుకోవాలి.","We have to make lunch."
"51","నేను ఏదోకటి చేస్తాను.","I'll fix something for you."
"51","నీకు ఏం కావాలి?","What do you want?"
"61","స్టేట్ హౌస్ ఇంటర్వ్యూలను వెలికి తీశావా?","Any chance you've pulled the statehouse interviews?"
"62","స్ప్రింగ్ ఫీల్డ్ నుండి సమాచారం వచ్చే దాకా, వాటిని అట్టిపెట్టి ఉంచమని రీజనల్ ఆఫీసు వారు మాకు చెప్పారు.","Um, Regional asked us to put a hold on those until they got back from Springfield."
"63","సరే, కానీ నేను అందాకా ఆగలేనే.","Yeah. I can't wait that long."
"64","అలాగే.","Of course."
"65","ఇదిగో.","Here."
"66","మాద్రిగల్ విషయం ఎంత దాకా వచ్చింది?","How's it going on Madrigal?"
"67","ఇతర బాధితుల కోసం వెతుకుతున్నాను.","I'm looking for other possible victims."
"68","పరిష్కారమవ్వకుండా ఉండిపోయిన హత్య కేసులు, తమని వెంబడిస్తున్నారని ఫిర్యాదు చేసిన మహిళల కేసులు.","Pulling unsolved homicide cases, women who made stalking complaints."
"69","ఇంకా విస్తృతమైన అంశాలను పరిగణించాలి, ముఠా తగాదాలను పక్కన పెట్టేయ్.","I would keep my search broad, weed out gang violence."
"70","గృహ హింసలను కూడా.","Domestic disputes."
"70","ఇప్పటిదాకా 136 కేసులను వెలికి తీశాను.","Yeah, I pulled 136 so far."
"71","ఇక్కడ ఎన్నేళ్ల నుండి పని చేస్తున్నావు?","You've been with us how many years now?"
"72","అక్టోబరుతో మూడేళ్లు.","Three in October."
"73","చాలా బాగా పని చేస్తున్నావు.","You're doing good work."
